,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
0,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_per_warp,Instructions per warp,23.750000,23.750000,23.750000
1,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
2,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,warp_execution_efficiency,Warp Execution Efficiency,92.828947%,92.894737%,92.850877%
3,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
4,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
5,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
6,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,flop_count_sp,Floating Point Operations(Single Precision),0,0,0
7,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_executed,Instructions Executed,95,95,95
8,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_issued,Instructions Issued,103,103,103
9,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
10,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,stall_sync,Issue Stall Reasons (Synchronization),0.000000%,0.000000%,0.000000%
11,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,stall_other,Issue Stall Reasons (Other),1.386679%,3.256402%,2.328884%
12,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,stall_memory_dependency,Issue Stall Reasons (Data Request),0.000000%,0.000000%,0.000000%
13,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.181860%,0.252924%,0.205603%
14,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),51.331058%,76.952261%,60.159000%
15,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_fp_32,FP Instructions(Single),0,0,0
16,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_fp_64,FP Instructions(Double),0,0,0
17,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_integer,Integer Instructions,1080,1080,1080
18,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_bit_convert,Bit-Convert Instructions,0,0,0
19,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_control,Control-Flow Instructions,128,128,128
20,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_compute_ld_st,Load/Store Instructions,55,55,55
21,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_misc,Misc Instructions,539,539,539
22,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,inst_inter_thread_communication,Inter-Thread Instructions,0,0,0
23,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,cf_issued,Issued Control-Flow Instructions,5,5,5
24,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,cf_executed,Executed Control-Flow Instructions,5,5,5
25,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,ldst_issued,Issued Load/Store Instructions,23,23,23
26,NVIDIA GeForce GTX 1080 Ti (0),"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)",3,ldst_executed,Executed Load/Store Instructions,17,17,17
