,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 01:43:45.213668,1000.053,1000.26,1000.651,1000.259,1000.24,1000.485,1000.38,1000.274,1000.373,1000.773,1000.177,1000.3,1000.93,1000.347,1000.404,1000.389,1000.336,1000.331,1000.381,2000.194,1415.383,1423.052,1706.536,1000.186,1000.029,1000.384,1000.385,1000.299,1000.429,1000.33,1000.35,1000.21,1000.254,1000.278,1000.426,1000.238,1000.808,1000.331,1000.259,1000.251,1000.343,1000.09,1000.287,1000.286,1000.115,1000.036,1000.42,1000.174,1000.12,1000.365,1000.367,1000.236,1000.136,1000.283,1000.426,1354.755,1356.829,1882.837,2208.447,1000.019,1000.225,1000.453,1000.261,1000.366,1000.417,1000.257,1000.242,1000.281,1000.325,1000.27,1000.269,1000.256,339938552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192327799.0,0.0,0.0,0.0,0,6,23040,1.5000000000000002,1.4861111111111112,1.5694444444444442,404328329216,399499538432,1.2,2130014208,364387438592,8541052928,28041007104,791896064,37018980352,8249344,2392117248,2147479552,0,2147479552,0.0,0,0,59100,1216003,2012013056,50171139072,18276,2878752,13526,626425,1991412
1,2024-04-18 01:43:47.485074,1000.067,1000.18,1000.115,1000.111,1000.122,1184.889,1121.586,1000.164,1000.223,1486.953,1390.828,1000.198,1000.222,1485.406,1000.19,1364.577,1000.154,1000.25,1148.032,1135.104,1432.394,1488.686,1812.703,2172.419,1991.972,2155.145,2139.175,1998.252,2124.434,2000.816,2111.542,2112.918,2165.833,2531.276,2134.426,3083.052,1000.219,1000.247,1000.168,1000.263,1000.12,1193.548,1007.753,1000.116,1000.076,1174.468,1097.503,1000.206,1000.238,1153.089,1000.119,1071.071,1000.259,1000.159,1130.211,1178.382,1134.73,1016.186,1693.805,2017.712,1621.466,2066.468,2042.757,1911.714,1785.828,1620.063,2043.712,2041.266,2063.198,1551.314,2068.186,3198.362,339968773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192328040.0,0.0,0.0,0.0,0,6,23040,1.4861111111111112,1.4861111111111112,1.5694444444444442,404328329216,399197110272,1.3,2432696320,364084428800,8820948992,28041519104,791896064,37019308032,8249344,2394234880,2147479552,0,2147479552,0.0,0,0,59100,1216027,2012013056,50171343872,18276,2878802,13526,626451,1991432
2,2024-04-18 01:43:49.782708,1000.061,1000.764,1000.597,1000.392,1000.962,1000.846,1000.814,1000.775,1000.713,1000.808,1000.904,1000.254,1001.3,1000.62,1000.572,1000.088,1000.954,1000.879,2191.855,1418.143,1601.475,1843.739,1717.602,1558.895,1600.563,1601.579,1542.735,1600.87,1588.995,1601.576,1601.648,1600.8,1600.866,1600.939,1601.029,3143.264,1001.312,1000.387,1000.804,1000.627,1000.738,1000.253,1000.607,1000.68,1000.115,1000.459,1000.071,1000.509,1000.196,1000.895,1000.133,1000.8,1000.661,1000.681,2207.854,1535.778,1600.634,1993.665,1735.464,1586.014,1600.385,1600.469,1589.093,1601.062,1587.47,1601.061,1601.048,1601.393,1601.216,1600.144,1601.331,3631.764,339969125.0,0.18,0.03,0.0,0.0,0.0,0.0,0.0,192328067.0,0.0,0.0,0.0,5,1296,23040,1.4861111111111112,1.4861111111111112,1.5694444444444442,404328329216,398156840960,1.5,3462524928,363044073472,9735548928,28051992576,791896064,37029834752,18735104,2401239040,2147479552,0,2147479552,0.0,0,0,59100,1216029,2012013056,50171397120,18276,2878812,13526,626462,1991444
3,2024-04-18 01:43:52.075247,1000.067,1000.097,1000.733,1000.401,1000.567,1000.568,1000.498,1000.672,1002.469,1000.726,1000.9,1000.739,1000.899,1000.525,1000.621,1000.807,1000.721,1000.861,1360.535,1330.822,1555.509,1913.296,1167.707,1161.921,1601.349,1602.077,1495.936,1600.778,1590.06,1489.081,1600.582,1601.637,1601.587,1600.3,1600.689,3047.062,1000.881,1000.901,1000.658,1000.626,1000.71,1000.466,1000.804,1000.92,1000.03,1000.235,1000.895,1000.611,1000.189,1000.7,1000.32,1000.991,1000.534,1000.361,1551.367,1081.456,1466.466,2010.186,1185.564,1143.805,1600.475,1600.455,1561.906,1600.357,1533.957,1489.382,1600.528,1600.766,1600.52,1600.679,1600.772,3534.652,339969143.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,192328078.0,0.0,0.0,0.0,20,1296,23040,1.4722222222222223,1.4861111111111112,1.5694444444444442,404328329216,398141726720,1.5,3477639168,363028959232,9749594112,28051992576,791896064,37029834752,18735104,2401378304,2147479552,0,2147479552,0.0,0,0,59100,1216072,2012013056,50171577344,18276,2878860,13526,626462,1991452
4,2024-04-18 01:43:54.370172,1000.048,1000.463,1000.701,1000.715,1000.699,1000.569,1000.739,1000.53,1000.24,1001.094,1000.539,1000.682,1000.51,1000.763,1000.837,1000.659,1000.326,1000.939,1000.19,1100.911,1520.57,1952.825,1059.773,1000.531,1601.285,1601.373,1539.789,1600.351,1559.765,1534.164,1601.286,1600.682,1600.995,1512.287,1601.558,3037.183,1001.038,1000.818,1000.966,1000.7,1000.513,1000.616,1000.764,1000.815,1000.406,1000.537,1000.756,1000.612,1000.129,1000.666,1000.951,1000.313,1000.12,1000.694,1000.748,1100.294,1534.124,2067.484,1086.261,1000.354,1601.073,1600.718,1549.54,1600.485,1585.374,1251.237,1600.747,1600.711,1600.871,1160.991,1600.846,3622.805,339969255.0,0.09,0.02,0.0,0.0,0.0,0.0,0.0,192328123.0,0.0,0.0,0.0,5,1584,23040,1.4722222222222223,1.4861111111111112,1.5694444444444442,404328329216,398126321664,1.5,3493044224,363013554176,9765130240,28051992576,791896064,37029834752,18735104,2401378304,2147479552,0,2147479552,0.0,0,0,59100,1216074,2012013056,50171630592,18276,2878871,13526,626473,1991464
5,2024-04-18 01:43:56.666292,1000.056,1000.681,1000.605,1000.194,1000.628,1000.484,1000.48,1000.511,1001.152,1000.55,1000.679,1000.592,1000.169,1000.321,1000.827,1000.996,1000.701,1000.765,1000.004,1000.089,1145.834,1961.392,1000.037,1000.892,1601.19,1600.622,1539.649,1599.96,1588.455,1532.844,1600.476,1600.738,1601.338,1522.39,1601.506,3039.863,1001.257,1000.895,1000.507,1000.694,1000.557,1000.604,1000.586,1001.211,1000.094,1000.611,1001.273,1000.595,1000.866,1000.46,1000.61,1000.535,1000.215,1001.004,1000.499,1001.43,1259.777,2090.66,1000.625,1000.567,1600.891,1600.967,1547.863,1600.853,1587.78,1252.354,1601.091,1601.045,1601.221,1368.786,1600.576,3569.053,339969491.0,0.08,0.02,0.0,0.0,0.0,0.0,0.0,192328123.0,0.0,0.0,0.0,25,1872,23040,1.4722222222222223,1.4861111111111112,1.5694444444444442,404328329216,398112382976,1.5,3506982912,362999615488,9778929664,28052000768,791896064,37029834752,18735104,2401378304,2147479552,0,2147479552,0.0,0,0,59100,1216081,2012013056,50171757568,18276,2878910,13526,626474,1991472
6,2024-04-18 01:43:58.962163,1000.071,1000.492,1001.057,1000.282,1000.604,1000.78,1000.759,1000.722,1000.88,1000.731,1000.79,1000.653,1000.852,1000.875,1000.622,1000.673,999.777,1000.757,998.624,1000.086,1541.313,1954.861,1000.477,1000.083,1601.368,1601.189,1531.091,1601.46,1587.419,1355.648,1600.684,1600.58,1601.437,1353.541,1601.296,3041.797,1001.705,1000.696,1000.417,1000.8,1000.628,1001.1,1000.474,1000.425,1000.156,1000.583,1000.965,1000.832,1000.108,1000.562,1000.436,1001.223,1000.106,1001.061,1000.261,1000.626,1550.381,2083.253,1000.747,1000.615,1601.776,1600.104,1361.674,1601.039,1541.754,1550.319,1600.71,1600.941,1600.597,1419.532,1600.746,3609.439,339969585.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,192329775.0,0.0,0.0,0.0,0,1872,23040,1.4722222222222223,1.4861111111111112,1.5694444444444442,404328329216,398110162944,1.5,3509202944,362997395456,9781538816,28052000768,791896064,37029834752,18735104,2401378304,2147479552,0,2147479552,0.0,0,0,59100,1216083,2012013056,50171782144,18276,2878920,13526,626478,1991484
7,2024-04-18 01:44:01.261089,1000.085,1000.718,1000.296,1000.821,1000.775,1000.722,1000.52,1000.856,1000.382,1000.189,1000.578,1000.355,1001.061,1000.339,1000.348,1000.622,1000.12,1000.719,1000.671,1000.48,1523.086,1774.745,1000.696,1000.033,1601.621,1601.347,1348.017,1600.855,1589.622,1342.955,1600.975,1600.903,1601.188,1520.558,1600.47,3172.135,1001.196,1000.561,1000.78,1000.627,1000.157,1000.902,1000.453,1000.625,1000.246,1000.3,1000.786,1000.837,1000.24,1000.656,1000.753,1000.927,1000.115,1000.64,1000.201,1000.775,1369.357,1713.934,1000.719,1001.017,1600.785,1599.959,1253.664,1600.714,1587.755,1252.83,1601.346,1600.638,1601.16,1360.992,1600.808,3623.107,339969718.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,192329881.0,0.0,0.0,0.0,7,1872,23040,1.4722222222222223,1.4861111111111112,1.5694444444444442,404328329216,398108872704,1.5,3510493184,362996105216,9782915072,28052004864,791896064,37029834752,18735104,2401382400,2147479552,0,2147479552,0.0,0,0,59100,1216126,2012013056,50171974656,18276,2879032,13526,626483,1991512
8,2024-04-18 01:44:03.566642,1000.09,1000.698,1000.631,1000.727,1000.828,1000.582,1000.36,1000.678,1000.89,1000.835,1000.867,1000.868,1000.851,1000.764,1000.374,1000.962,1000.859,1000.668,1000.286,1000.493,1278.045,1808.704,1100.822,1000.729,1600.767,1600.634,1348.223,1601.426,1588.521,1533.406,1600.744,1420.758,1600.88,1521.556,1601.179,3158.008,1001.37,1000.788,1000.579,1000.788,1000.57,1000.71,1000.821,1000.485,1000.409,1000.887,1000.723,1000.693,1000.177,1000.632,1000.694,1000.63,1000.55,1000.75,1000.768,1000.836,1160.137,1948.685,1100.36,1000.598,1600.566,1600.799,1254.006,1600.738,1586.874,1251.161,1600.841,1470.404,1600.618,1367.569,1600.753,3632.448,339969888.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,192329881.0,0.0,0.0,0.0,9,1872,23040,1.4583333333333333,1.4861111111111112,1.5694444444444442,404328329216,398107066368,1.5,3512299520,362994298880,9784979456,28052013056,791896064,37029834752,18735104,2401382400,2147479552,0,2147479552,0.0,0,0,59100,1216126,2012013056,50171974656,18276,2879032,13526,626483,1991512
9,2024-04-18 01:44:05.866140,1000.04,1000.765,1000.943,1000.078,1000.61,1001.064,1000.529,1000.309,1001.132,1000.57,1000.809,1000.718,1000.488,1000.794,1000.326,1000.781,1000.74,1000.789,1351.251,1000.098,1422.631,1796.32,1087.878,1000.497,1601.534,1600.996,1343.687,1600.899,1589.941,1538.578,1600.647,1554.73,1600.952,1186.686,1601.031,3186.188,1000.876,1000.413,1000.359,1001.193,1000.979,1000.227,1000.936,1000.575,1000.083,1000.674,1000.173,1000.562,1000.786,1000.462,1000.734,1000.231,1000.593,1000.406,1001.665,1000.77,1250.72,1948.429,1011.973,1000.442,1601.062,1600.964,1359.881,1600.275,1587.243,1550.562,1600.527,1468.252,1601.32,1587.141,1600.855,3555.614,339970135.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,192330853.0,0.0,0.0,0.0,27,2000,23040,1.4583333333333333,1.4861111111111112,1.5694444444444442,404328329216,398103764992,1.5,3515600896,362990997504,9788076032,28052013056,791896064,37029834752,18735104,2401382400,2147479552,0,2147479552,0.0,0,0,59100,1216126,2012013056,50171974656,18276,2879032,13526,626483,1991512
