,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
0,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,inst_per_warp,Instructions per warp,9.812500,9.812500,9.812500
1,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
2,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,warp_execution_efficiency,Warp Execution Efficiency,91.958599%,91.998408%,91.985138%
3,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
4,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
5,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
6,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,flop_count_sp,Floating Point Operations(Single Precision),0,0,0
7,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,inst_executed,Instructions Executed,157,157,157
8,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,inst_issued,Instructions Issued,189,189,189
9,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
10,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,stall_sync,Issue Stall Reasons (Synchronization),0.000000%,0.000000%,0.000000%
11,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,stall_other,Issue Stall Reasons (Other),1.483144%,2.302462%,1.785267%
12,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,stall_memory_dependency,Issue Stall Reasons (Data Request),0.000000%,0.000000%,0.000000%
13,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.011041%,0.017140%,0.014865%
14,Tesla P40 (0),"void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, at::native::mbtopk::fill<unsigned int, unsigned int>, unsigned int)",3,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),34.815251%,51.581136%,45.626387%
