,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-17 23:36:11.318471,1000.049,1000.677,1000.377,1000.337,1000.527,1000.534,1000.187,1000.626,1000.556,1035.2,1000.445,1000.591,1000.091,1000.561,1000.505,1000.653,1000.292,1000.598,2158.058,1483.832,1079.189,1004.232,1000.021,1000.537,1000.177,1000.846,1000.597,1001.231,1000.359,1000.489,1000.643,1000.438,1000.332,1000.503,1000.554,1000.365,1001.323,1000.161,1000.605,1000.8,1000.247,1000.859,1001.018,1000.708,1000.521,1254.728,1000.716,1000.243,1001.099,1000.69,1000.377,1000.91,1000.612,1000.807,1315.271,1034.217,1115.883,1800.23,1000.84,1000.768,1000.785,1000.133,1000.989,1000.096,1000.707,1000.616,1000.456,1000.691,1000.996,1000.407,1000.846,1000.784,334624871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192083063.0,0.0,0.0,0.0,0,6,23040,1.4305555555555556,1.5000000000000002,1.5000000000000002,404328329216,399491534848,1.2,2138247168,364412088320,8537559040,28013142016,788434944,36989558784,8249344,2391314432,2147479552,0,2147479552,0.0,0,0,59100,1198695,2012013056,50029278208,18276,2837093,13526,617305,1964088
1,2024-04-17 23:36:13.578592,1000.045,1000.387,1000.856,1000.348,1000.412,1001.254,1000.204,1000.367,1000.873,1058.319,1000.154,1000.259,1000.129,1000.525,1000.653,1000.613,1000.617,1000.414,2300.75,1634.504,2300.972,1345.957,2167.745,2880.184,2996.78,2124.368,3300.493,3097.725,1735.631,1456.332,2301.311,2658.461,2575.212,2589.958,2301.426,2640.58,1001.48,1000.986,1000.204,1000.563,1000.59,1000.022,1001.11,1000.752,1000.209,1152.629,1000.952,1000.122,1000.917,1000.588,1000.56,1000.555,1000.278,1000.568,2301.182,1996.092,2301.161,1979.012,1894.769,1600.656,2353.807,1679.918,2194.511,2447.693,1480.732,2604.609,2300.946,2558.987,2668.777,2702.735,2487.894,2877.805,334693924.0,0.54,0.09,0.02,0.0,0.0,0.0,0.0,192083063.0,0.0,0.0,0.0,0,6,23040,1.4305555555555556,1.5000000000000002,1.5000000000000002,404328329216,399190482944,1.3,2439307264,364110508032,8817115136,28013641728,788434944,36990078976,8249344,2392305664,2147479552,0,2147479552,0.0,0,0,59100,1198695,2012013056,50029278208,18276,2837093,13526,617305,1964088
2,2024-04-17 23:36:15.868418,1000.052,1000.891,1000.618,1000.321,1000.725,1000.458,1000.564,1000.702,1001.053,1000.009,1000.648,1000.125,1000.252,1000.716,1000.856,1000.982,1000.584,1000.484,1363.946,1866.982,2252.684,1563.351,1601.522,2074.032,1600.369,1342.337,1868.706,1600.856,1523.343,1200.775,1364.068,1600.655,1600.952,1601.65,1522.624,3472.833,1001.552,1000.338,1000.404,1000.577,1000.516,1000.917,1000.515,1000.398,1000.144,1000.864,1000.677,1001.002,1000.856,1000.622,1000.862,1000.593,1000.937,1000.311,1553.291,1486.268,1764.366,1498.747,1601.264,2072.72,1600.576,1548.498,2203.036,1601.156,1278.248,1200.662,1327.712,1600.274,1600.251,1600.615,1683.753,3572.909,334694783.0,0.44,0.09,0.02,0.0,0.0,0.0,0.0,192083351.0,0.0,0.0,0.0,8,1296,23040,1.4305555555555556,1.5000000000000002,1.5000000000000002,404328329216,398151159808,1.5,3468197888,363070595072,9730101248,28024598528,788439040,37001097216,18735104,2399928320,2147479552,0,2147479552,0.0,0,0,59100,1198697,2012013056,50029356032,18276,2837103,13526,617322,1964100
3,2024-04-17 23:36:18.157570,1000.08,1000.941,1000.609,1000.431,1000.794,1000.683,1000.84,1000.142,1000.907,1000.341,1000.652,1001.109,1000.262,1000.603,1000.544,1000.654,1000.358,1000.425,1543.276,1931.39,1860.383,1000.175,1601.115,1317.894,1112.457,1000.828,2185.266,1600.724,1235.442,1039.2,1434.243,1601.197,1601.377,1600.945,1423.847,3038.199,1001.306,1000.472,1000.624,1000.86,1000.428,1000.645,1000.568,1000.714,1000.489,1000.419,1000.307,1000.407,1000.463,1000.759,1000.472,1000.197,1000.658,1000.638,1414.355,2024.613,1877.401,1000.817,1601.006,1463.729,1171.533,1000.829,2116.739,1600.754,1395.782,1013.96,1414.986,1600.963,1600.548,1600.456,1421.715,3592.994,334694900.0,0.36,0.09,0.01,0.0,0.0,0.0,0.0,192083676.0,0.0,0.0,0.0,18,2000,23040,1.4305555555555556,1.5000000000000002,1.5000000000000002,404328329216,398146199552,1.5,3473162240,363065593856,9733558272,28024598528,788439040,37001134080,18735104,2400133120,2147479552,0,2147479552,0.0,0,0,59100,1198712,2012013056,50031035392,18276,2837161,13526,617700,1964120
4,2024-04-17 23:36:20.450342,1000.045,1246.597,1209.497,1000.602,1000.48,1000.954,1202.07,1000.734,1000.879,1000.514,1264.407,1000.631,1001.035,1000.499,1000.74,1000.758,1000.858,1000.89,1000.197,2808.043,1000.0,1000.405,1078.625,1000.657,1013.829,1000.745,2031.068,1058.645,1214.406,1000.4,1000.804,1000.141,2124.778,1000.462,3053.953,1758.831,1001.06,1086.963,1017.068,1000.015,1000.498,1000.211,1194.356,1000.772,1000.619,1000.588,1248.656,1000.955,1000.459,1000.598,1000.626,1000.689,1000.453,1000.338,1000.997,2756.96,1300.419,1000.813,1177.029,1000.959,1086.9,1000.524,2021.925,1086.147,1270.981,1000.384,1000.586,1000.938,2109.099,1000.731,3603.234,1607.547,334809044.0,0.29,0.08,0.01,0.0,0.0,0.0,0.0,192092623.0,0.0,0.0,0.0,3,1342,23040,1.4305555555555556,1.5000000000000002,1.5000000000000002,404328329216,396999729152,1.8,4117557248,361919119360,10341064704,28526583808,788439040,37503213568,520814592,2409299968,2147479552,0,2147479552,0.0,0,0,59100,1198714,2012013056,50031072256,18276,2837182,13526,617707,1964144
5,2024-04-17 23:36:22.753216,1000.057,1000.427,1000.552,1000.706,1000.492,1000.751,1000.871,1000.584,1000.852,1000.412,1000.393,1000.2,1000.288,1000.692,1000.674,1000.441,1000.59,1000.829,1000.154,1960.387,3615.249,1000.112,1000.588,1000.741,1000.783,1000.645,2036.205,1057.869,1000.886,1000.161,1000.232,1000.322,2110.444,1000.488,1176.985,1357.468,1001.11,1000.699,1000.609,1000.806,1000.724,1000.627,1000.83,1000.865,1000.282,1000.488,1000.858,1000.36,1000.339,1000.396,1000.745,1000.244,1000.391,1000.573,1001.272,2062.251,3432.354,1000.612,1000.669,1000.324,1000.68,1000.605,2022.684,1086.694,1000.93,1000.619,1000.547,1000.479,1832.517,1000.801,1173.864,1362.477,334809358.0,0.94,0.24,0.05,0.0,0.0,0.0,0.0,192092623.0,0.0,0.0,0.0,0,2430,23040,1.4166666666666667,1.5000000000000002,1.5000000000000002,404328329216,396143517696,2.0,4817928192,361062670336,11037704192,28681981952,788439040,37659291648,676663296,2408620032,2147479552,0,2147479552,0.0,0,0,59100,1198714,2012013056,50031072256,18276,2837182,13526,617707,1964144
6,2024-04-17 23:36:25.052007,1000.015,1000.741,1001.157,1000.345,1000.441,1000.651,1000.529,1000.53,1000.722,1000.493,1000.735,1000.511,1000.48,1000.369,1000.747,1000.717,1000.514,1000.583,1000.097,1785.368,3604.615,1059.175,1000.196,1000.644,1000.78,1000.43,1807.345,1089.79,1001.216,1000.174,1000.429,1000.709,2119.491,1000.325,1176.52,1230.069,1000.68,1000.801,1000.362,1000.399,1000.824,1000.476,1000.381,1000.778,1000.829,1000.38,1000.547,1000.779,1000.781,1000.451,1000.869,1000.686,1000.747,1000.766,1000.144,1951.225,3434.998,1085.783,1000.565,1000.756,1000.333,1000.555,2022.001,1088.598,1000.788,1000.244,1000.434,1000.725,2112.647,1000.767,1175.117,1450.29,334809758.0,0.77,0.23,0.05,0.0,0.0,0.0,0.0,192092770.0,0.0,0.0,0.0,16,2430,23040,1.4166666666666667,1.5000000000000002,1.5000000000000002,404328329216,395775877120,2.1,4834623488,360694505472,11045466112,29032927232,788439040,38010761216,1027608576,2412756992,2147479552,0,2147479552,0.0,0,0,59100,1198718,2012013056,50031232000,18276,2837202,13526,617742,1964168
7,2024-04-17 23:36:27.354921,1000.065,1000.507,1000.398,1000.103,1000.39,1000.82,1000.698,1000.522,1000.822,1000.584,1000.852,1000.195,1000.272,1000.89,1000.549,1000.564,1000.452,1000.567,1000.19,1988.847,3600.64,1000.782,1000.453,1000.599,1000.252,1001.117,1764.185,1058.718,1000.48,1000.296,1000.623,1000.59,1569.708,1000.72,1000.572,1318.185,1001.164,1000.838,1000.602,1000.305,1000.664,1000.277,1001.035,1000.418,1000.417,1000.428,1000.711,1001.189,1000.896,1000.561,1000.686,1000.601,1000.794,1000.565,1000.22,2073.531,3435.332,1000.881,1000.446,1000.921,1000.728,1000.203,1968.41,1085.957,1000.461,1000.733,1000.558,1000.639,1484.036,1000.419,1000.683,1363.755,334810275.0,0.63,0.22,0.05,0.0,0.0,0.0,0.0,192092784.0,0.0,0.0,0.0,19,2428,23040,1.4166666666666667,1.5000000000000002,1.5000000000000002,404328329216,395772055552,2.1,4838445056,360690683904,11442880512,28647399424,788439040,38010761216,1027608576,2409144320,2147479552,0,2147479552,0.0,0,0,59100,1198765,2012013056,50031461376,18276,2837297,13526,617751,1964176
8,2024-04-17 23:36:29.657593,1000.051,1000.267,1000.425,1000.454,1000.604,1001.122,1000.243,1000.674,1000.674,1000.79,1000.245,1000.357,1000.105,1000.523,1000.534,1000.609,1000.641,1000.437,1000.137,1828.641,3577.473,1011.245,1000.088,1000.148,1000.258,1000.318,1762.054,1089.731,1000.975,1001.032,1000.2,1000.619,1509.468,1000.684,1000.654,1359.756,1001.05,1000.956,1000.73,1000.505,1000.343,1000.35,1000.585,1000.528,1000.683,1000.362,1000.8,1000.737,1000.611,1000.498,1000.612,1000.452,1000.89,1000.681,1000.117,1903.937,3428.923,1048.678,1001.119,1000.781,1000.642,1000.505,1976.126,1088.616,1000.954,1000.227,1000.624,1000.684,1574.934,1000.802,1000.387,1456.591,334811159.0,0.51,0.21,0.05,0.0,0.0,0.0,0.0,192092878.0,0.0,0.0,0.0,82,2710,23040,1.4166666666666667,1.5000000000000002,1.5000000000000002,404328329216,395763347456,2.1,4847153152,360681975808,11057942528,29033439232,788439040,38010761216,1027608576,2412756992,2147479552,0,2147479552,0.0,0,0,59100,1198767,2012013056,50031485952,18276,2837307,13526,617755,1964188
9,2024-04-17 23:36:31.954738,1000.071,1000.577,1000.633,1000.3,1000.875,1000.674,1000.351,1000.888,1000.472,1000.438,1000.523,1000.702,1000.511,1000.707,1000.496,1000.638,1000.369,1000.473,1000.772,1880.289,3581.892,1000.076,1000.113,1000.77,1000.63,1000.284,1770.341,1089.476,1000.264,1000.266,1000.172,1000.45,1534.228,1000.705,1000.64,1306.871,1001.356,1000.652,1000.942,1001.001,1000.725,1000.522,1000.997,1000.285,1000.72,1000.625,1000.24,1000.586,1000.603,1000.724,1000.678,1000.456,1000.762,1000.502,1000.072,2004.844,3432.538,1001.065,1000.969,1000.594,1000.556,1000.344,1968.675,1088.139,1000.537,1000.874,1000.871,1000.744,1249.206,1000.758,1000.602,1311.297,334812055.0,0.42,0.2,0.05,0.0,0.0,0.0,0.0,192092894.0,0.0,0.0,0.0,25,2710,23040,1.4166666666666667,1.5000000000000002,1.5000000000000002,404328329216,395759947776,2.1,4850552832,360678576128,11061755904,29032931328,788439040,38010761216,1027608576,2412756992,2147479552,0,2147479552,0.0,0,0,59100,1198814,2012013056,50031690752,18276,2837356,13526,617756,1964196
