,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 01:15:17.708826,1000.05,1000.288,1000.808,1000.164,1000.695,1000.538,1000.868,1000.468,1000.678,1000.616,1000.322,1000.489,1000.348,1000.46,1000.468,1000.661,1000.486,1000.47,1000.335,2045.322,1807.221,1206.264,1000.006,1001.147,1000.347,1000.643,1000.59,1000.623,1001.244,1000.485,1000.577,2130.985,1000.642,1000.455,1000.387,1000.598,1001.419,1000.771,1000.712,1000.578,1000.664,1000.859,1000.158,1000.625,1000.44,1000.72,1000.776,1000.327,1008.928,1012.5,1013.095,1008.835,1014.173,1010.714,997.614,1625.744,2303.793,2330.037,999.39,1016.019,1015.964,1013.712,1017.307,1003.233,1019.047,1015.909,1018.286,2321.455,1015.964,1013.636,1016.073,1019.519,338622500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192275138.0,0.0,0.0,0.0,0,6,23040,1.4861111111111112,1.5138888888888888,1.5138888888888888,404328329216,399494283264,1.2,2134904832,364388925440,8540504064,28035309568,791175168,37013323776,8572928,2391891968,2147479552,0,2147479552,0.0,0,0,59100,1212385,2012013056,50143826944,18276,2869664,13526,624974,1985400
1,2024-04-18 01:15:19.980678,1000.074,1000.202,1000.222,1000.165,1000.163,1000.206,1000.2,1000.204,1000.149,1000.172,1000.057,1000.25,1000.192,1000.186,1000.153,1000.19,1000.119,1000.199,1331.394,1099.715,1951.985,1119.668,1261.235,2007.061,2018.712,2062.64,2035.174,1955.341,1827.211,2016.478,2091.238,2756.29,2159.318,1938.07,1988.833,2608.879,1000.29,1000.224,1000.133,1000.185,1000.153,1000.195,1000.14,1000.182,1000.201,1000.187,1000.22,1000.196,1000.186,1000.167,1000.262,1000.178,1000.254,1000.21,1075.685,1112.43,1597.962,1505.971,1194.276,2027.397,2062.848,1917.844,1635.288,1913.894,2035.934,2020.153,2035.276,2436.252,2075.175,1593.399,1641.386,3227.62,338676762.0,0.36,0.06,0.01,0.0,0.0,0.0,0.0,192275412.0,0.0,0.0,0.0,0,6,23040,1.4861111111111112,1.5138888888888888,1.5138888888888888,404328329216,399192924160,1.3,2436878336,364087427072,8820195328,28035055616,791183360,37012840448,8249344,2393686016,2147479552,0,2147479552,0.0,0,0,59100,1212387,2012013056,50143929344,18276,2869674,13526,624997,1985416
2,2024-04-18 01:15:22.273457,1000.07,1000.461,1074.477,1000.676,1000.463,1000.689,1000.563,1000.627,1000.746,1000.988,1000.346,1000.766,1000.646,1000.429,1001.039,1000.633,1000.471,1000.375,1600.895,1601.403,2017.196,1001.102,3607.484,1681.496,1000.269,2199.334,1601.117,1601.173,1000.911,1588.871,1589.335,1085.521,1589.327,1576.065,1600.212,1986.629,1000.965,1000.856,1042.735,1000.917,1000.796,1000.429,1000.725,1000.912,1000.563,1000.101,1000.607,1000.379,1000.764,1000.622,1000.533,1000.505,1000.582,1000.822,1601.104,1601.016,1652.748,1000.182,3394.254,2192.183,1000.444,2184.666,1600.72,1600.719,1000.614,1587.167,1587.234,1042.161,1587.552,1572.499,1601.0,1944.284,338679448.0,0.29,0.06,0.01,0.0,0.0,0.0,0.0,192275535.0,0.0,0.0,0.0,6,1296,23040,1.4861111111111112,1.5138888888888888,1.5138888888888888,404328329216,398170558464,1.5,3448815616,363064532992,9717379072,28046008320,791183360,37023797248,18735104,2400088064,2147479552,0,2147479552,0.0,0,0,59100,1212405,2012013056,50144044032,18276,2869770,13526,625007,1985432
3,2024-04-18 01:15:24.572588,1000.057,1000.5,1000.467,1000.736,1000.917,1000.18,1000.44,1000.838,1000.464,1000.544,1000.417,1000.799,1000.727,1000.618,1000.417,1000.474,1000.935,1000.723,1300.329,1418.491,1941.567,1001.166,3598.178,1000.969,1000.949,2312.343,1601.025,1420.483,1000.705,1558.872,1558.05,1040.702,1545.27,1483.118,1600.779,1987.13,1001.557,1000.65,1000.457,1000.575,1000.727,1001.136,1000.735,1001.067,1000.615,1000.838,1000.58,1000.78,1000.45,1000.306,1000.781,1000.754,1000.682,1000.468,1301.01,1468.567,1563.695,1000.159,3399.69,1000.092,1000.717,2276.425,1600.819,1401.362,1000.448,1585.126,1584.882,1060.265,1541.978,1479.492,1600.955,1943.114,338679654.0,0.19,0.05,0.01,0.0,0.0,0.0,0.0,192275535.0,0.0,0.0,0.0,18,1296,23040,1.4861111111111112,1.5138888888888888,1.5138888888888888,404328329216,398140002304,1.5,3479371776,363033976832,9747558400,28046012416,791183360,37023797248,18735104,2400186368,2147479552,0,2147479552,0.0,0,0,59100,1212406,2012013056,50144048128,18276,2869775,13526,625007,1985436
4,2024-04-18 01:15:26.871290,1000.071,1000.657,1000.722,1000.235,1000.719,1000.552,1000.417,1000.025,1000.674,1000.586,1000.498,1000.134,1000.96,1000.193,1000.905,1001.151,1000.976,1000.546,1088.316,1353.608,2067.618,1000.854,3605.363,1086.46,1000.755,2311.256,1601.439,1415.788,1000.51,1559.39,1588.988,1086.755,1558.881,1356.952,1562.353,1458.988,1001.705,1000.967,1000.652,1000.535,1000.939,1000.575,1000.655,1000.587,1000.632,1000.736,1000.465,1000.608,1000.484,1000.752,1000.633,1000.537,1000.424,1000.495,1058.391,1549.724,1679.967,1000.167,3397.425,1043.65,1000.581,2278.619,1600.884,1534.912,1000.756,1585.52,1586.26,1059.319,1586.29,1268.251,1557.151,1664.412,338679997.0,0.16,0.05,0.01,0.0,0.0,0.0,0.0,192275628.0,0.0,0.0,0.0,6,1584,23040,1.4722222222222223,1.5138888888888888,1.5138888888888888,404328329216,398124003328,1.5,3495370752,363017977856,9763065856,28046012416,791183360,37023797248,18735104,2400186368,2147479552,0,2147479552,0.0,0,0,59100,1212408,2012013056,50144101376,18276,2869789,13526,625018,1985452
5,2024-04-18 01:15:29.167208,1000.054,1000.754,1000.561,1000.764,1000.227,1000.615,1000.468,1000.539,1000.896,1000.816,1000.426,1000.469,1000.476,1000.701,1000.66,1000.706,1000.585,1000.487,1000.767,1351.466,2065.383,1000.985,3604.032,1000.801,1000.049,2053.65,1600.731,1365.047,1000.568,1554.949,1554.921,1041.494,1558.457,1218.014,1428.38,1593.75,1001.388,1000.645,1000.78,1000.363,1000.565,1000.139,1000.52,1000.476,1000.545,1000.992,1000.448,1000.384,1000.623,1000.528,1000.986,1000.471,1000.267,1000.714,1000.256,1551.131,1670.799,1000.24,3398.794,1000.403,1000.644,2568.192,1601.157,1518.69,1000.401,1539.823,1562.854,1059.647,1586.492,1266.856,1557.685,1668.132,338680103.0,0.13,0.05,0.01,0.0,0.0,0.0,0.0,192275628.0,0.0,0.0,0.0,18,1584,23040,1.4722222222222223,1.5138888888888888,1.5138888888888888,404328329216,398110810112,1.5,3508563968,363004784640,9776758784,28046012416,791183360,37023797248,18735104,2400219136,2147479552,0,2147479552,0.0,0,0,59100,1212408,2012013056,50144101376,18276,2869789,13526,625018,1985452
6,2024-04-18 01:15:31.461751,1000.046,1000.555,1001.012,1000.511,1000.898,1000.768,1000.661,1000.393,1000.781,1000.811,1000.553,1000.67,1000.334,1000.673,1000.202,1000.622,1000.806,1000.813,1001.116,1534.932,2071.937,1000.478,3599.724,1000.395,1000.136,2282.002,1601.384,1532.943,1000.299,1558.141,1557.365,1085.821,1589.597,1133.47,1460.943,1590.46,1001.722,1000.711,1001.037,1000.306,1000.61,1000.592,1000.781,1000.907,1000.674,1000.814,1000.405,1000.958,1000.914,1000.736,1000.859,1000.469,1000.77,1000.746,1000.445,1363.318,1673.933,1000.153,3400.277,1000.933,1000.097,2239.28,1601.368,1526.5,1000.59,1584.875,1555.568,1014.435,1587.601,1358.594,1413.164,1532.634,338680277.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,192275710.0,0.0,0.0,0.0,0,1872,23040,1.4722222222222223,1.5138888888888888,1.5138888888888888,404328329216,398107705344,1.5,3511668736,363001679872,9779445760,28046020608,791183360,37023797248,18735104,2400219136,2147479552,0,2147479552,0.0,0,0,59100,1212417,2012013056,50144240640,18276,2869838,13526,625020,1985472
7,2024-04-18 01:15:33.762023,1000.075,1000.567,1000.68,1000.443,1000.625,1000.426,1000.835,1000.664,1000.558,1000.595,1000.916,1001.139,1000.457,1000.275,1000.178,1000.625,1000.248,1000.782,1000.639,1345.999,2088.494,1001.566,3588.069,1001.285,1000.099,2280.4,1601.04,1534.126,1000.773,1562.2,1558.124,1087.623,1556.897,1357.361,1460.896,1459.112,1001.037,1000.622,1001.053,1000.39,1000.508,1000.716,1000.682,1000.819,1000.456,1000.168,1000.873,1000.11,1000.432,1000.455,1000.567,1000.518,1000.79,1000.42,1000.723,1356.759,1674.205,1000.138,3402.134,1000.16,1000.119,2237.024,1600.983,1525.262,1000.62,1557.309,1584.701,1089.597,1539.645,1269.703,1551.709,1664.115,338680445.0,0.08,0.05,0.01,0.0,0.0,0.0,0.0,192275710.0,0.0,0.0,0.0,7,1872,23040,1.4722222222222223,1.5138888888888888,1.5138888888888888,404328329216,398105923584,1.5,3513450496,362999898112,9780916224,28045987840,791183360,37023797248,18735104,2400219136,2147479552,0,2147479552,0.0,0,0,59100,1212417,2012013056,50144240640,18276,2869838,13526,625020,1985472
8,2024-04-18 01:15:36.057237,1000.061,1000.593,1000.572,1000.545,1000.547,1000.866,1000.95,1000.448,1000.896,1001.294,1000.724,1000.453,1000.348,1000.286,1000.773,1001.017,1000.77,1000.795,1000.445,1537.062,2025.889,1001.026,3580.624,1001.047,1000.158,2280.167,1600.903,1423.329,1000.351,1469.008,1558.69,1039.449,1588.142,1357.089,1558.766,1524.2,1001.244,1000.725,1000.451,1000.88,1000.618,1000.521,1000.491,1000.83,1000.668,1000.061,1000.048,1000.501,1000.754,1000.449,1000.402,1000.344,1000.491,1000.437,1000.249,1575.575,1648.524,1000.162,3612.121,1000.108,1000.049,2370.898,1600.71,1531.277,1000.739,1551.603,1585.267,1043.098,1541.486,1265.435,1415.94,1820.491,338681112.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,192275771.0,0.0,0.0,0.0,31,1872,23040,1.4583333333333333,1.5138888888888888,1.5138888888888888,404328329216,398103859200,1.5,3515510784,362997833728,9782632448,28045991936,791187456,37023797248,18735104,2400219136,2147479552,0,2147479552,0.0,0,0,59100,1212463,2012013056,50144461824,18276,2869896,13526,625027,1985492
9,2024-04-18 01:15:38.359915,1000.067,1000.841,1000.449,1000.896,1000.287,1000.74,1000.538,1000.804,1000.693,1000.396,1000.827,1000.618,1000.682,1000.799,1000.657,1000.676,1000.169,1000.658,1000.598,1459.875,1975.727,1000.755,3600.45,1001.147,1000.49,2282.022,1600.941,1200.609,1000.591,1563.214,1588.523,1040.523,1592.472,1357.177,1557.786,1528.857,1001.382,1000.74,1000.488,1000.802,1000.811,1000.835,1000.696,1000.791,1001.021,1000.325,1000.314,1000.575,1000.617,1000.457,1000.517,1000.422,1000.472,1000.672,1000.309,1461.249,1601.363,1000.102,3398.464,1000.112,1000.316,2241.803,1600.379,1200.543,1000.635,1558.197,1586.731,1058.752,1588.361,1272.27,1415.776,1449.834,338681412.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,192275771.0,0.0,0.0,0.0,7,2000,23040,1.4583333333333333,1.5138888888888888,1.5138888888888888,404328329216,398101020672,1.5,3518349312,362994995200,9785556992,28045991936,791187456,37023797248,18735104,2400219136,2147479552,0,2147479552,0.0,0,0,59100,1212463,2012013056,50144461824,18276,2869896,13526,625027,1985492
