,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 03:02:14.961350,1000.055,1000.345,1000.222,1000.254,1000.217,1000.301,1000.41,1000.241,1000.257,1000.348,1000.116,1000.222,1000.208,1000.252,1000.254,1000.362,1000.235,1000.146,1000.276,1000.324,1000.304,1000.343,1000.324,1363.635,1204.076,1158.69,1215.085,1312.128,1000.453,1000.404,1000.282,1000.34,1000.224,1000.288,1000.287,1000.272,1000.898,1000.323,1000.327,1000.295,1000.248,1000.235,1000.39,1000.257,1000.441,1000.355,1000.802,1000.256,1000.188,1000.323,1000.306,1000.109,1000.21,1000.254,1000.304,1000.265,1000.314,1000.281,1000.252,2118.459,1594.362,1064.939,1938.226,1098.758,1000.015,1000.232,1000.322,1000.248,1000.239,1000.239,1000.312,1000.218,343278566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192452646.0,0.0,0.0,0.0,0,6,23040,1.583333333333333,1.5555555555555556,1.5138888888888888,404328329216,399492702208,1.2,2136887296,364358127616,8543657984,28058337280,794116096,37039198208,8249344,2395750400,2147479552,0,2147479552,0.0,0,0,59100,1226128,2012013056,50247455744,18276,2903436,13526,630415,2007624
1,2024-04-18 03:02:17.229508,1000.043,1005.08,1365.074,1000.081,1000.213,1000.194,1000.221,1000.292,1000.141,1000.179,1000.096,1000.197,1000.175,1000.219,1000.203,1000.14,1000.07,1000.183,1255.265,2036.91,2154.606,1140.451,1389.78,2051.228,2171.835,2154.061,1595.505,1540.231,2028.909,2016.69,2074.155,2016.846,2389.206,2145.63,2147.255,3161.983,1000.398,1017.577,1066.364,1000.083,1000.065,1000.229,1000.162,1000.167,1000.179,1000.126,1000.263,1000.191,1000.196,1000.191,1000.199,1000.122,1000.205,1000.179,1092.459,1174.319,1265.719,1014.619,1191.664,2100.257,1718.415,2203.633,2161.095,1571.154,1622.8,1564.021,2113.911,1624.756,2515.502,2026.001,2069.246,3201.087,343325795.0,0.36,0.06,0.01,0.0,0.0,0.0,0.0,192452646.0,0.0,0.0,0.0,0,6,23040,1.5694444444444442,1.541666666666667,1.5138888888888888,404328329216,399189680128,1.3,2440134656,364054773760,8824377344,28058554368,794116096,37039304704,8249344,2397970432,2147479552,0,2147479552,0.0,0,0,59100,1226128,2012013056,50247455744,18276,2903436,13526,630415,2007624
2,2024-04-18 03:02:19.526684,1042.042,1557.127,1139.15,1000.679,3402.662,1176.34,1159.152,1286.78,1158.039,1400.579,1201.043,1385.162,1110.924,1575.376,1572.963,1548.677,1548.499,1410.789,1427.693,1503.763,1501.995,1000.843,1267.964,1502.935,1356.55,1168.44,1000.556,1392.912,1601.097,1000.636,1601.422,1601.113,2001.304,1499.379,1601.07,1000.367,1038.749,1469.569,1113.669,1000.731,3635.923,1127.911,1232.286,1289.288,1184.886,1401.037,1200.832,1343.621,1019.713,1572.104,1479.801,1542.791,1417.195,1344.109,1428.269,1304.095,1514.385,1000.299,1515.275,1516.058,1360.791,1215.563,1000.705,1150.939,1600.739,1000.575,1600.682,1600.87,2001.217,1513.37,1600.994,1000.586,343325862.0,0.29,0.06,0.01,0.0,0.0,0.0,0.0,192452792.0,0.0,0.0,0.0,3,1296,23040,1.5694444444444442,1.541666666666667,1.5138888888888888,404328329216,398152515584,1.5,3466809344,363017138176,9737248768,28069453824,794120192,37050261504,18735104,2403291136,2147479552,0,2147479552,0.0,0,0,59100,1226132,2012013056,50247554048,18276,2903456,13526,630435,2007652
3,2024-04-18 03:02:21.822212,1000.775,1189.141,1000.461,1000.597,3397.124,1039.64,1000.678,1100.984,1088.887,1200.527,1000.504,1059.354,1000.781,1200.778,1257.856,1110.439,1201.201,1039.459,1294.872,1000.564,1409.708,1000.718,1148.204,1601.192,1357.413,1000.611,1000.714,1216.143,1600.303,1000.462,1600.841,1601.49,2000.967,1600.88,1601.064,1000.313,1000.743,1188.077,1000.794,1000.559,3632.647,1013.899,1000.045,1100.849,1087.787,1200.714,1000.327,1085.099,1000.451,1201.211,1210.743,1070.506,1200.634,1041.914,1490.679,1000.435,1139.8,1000.66,1221.466,1601.182,1346.282,1000.672,1000.59,1199.6,1600.825,1000.738,1600.948,1600.072,2001.442,1601.002,1600.526,1000.572,343326001.0,0.24,0.06,0.01,0.0,0.0,0.0,0.0,192452805.0,0.0,0.0,0.0,5,2304,23040,1.5555555555555556,1.541666666666667,1.5138888888888888,404328329216,398147608576,1.5,3471716352,363012231168,9742757888,28069457920,794120192,37050261504,18735104,2403753984,2147479552,0,2147479552,0.0,0,0,59100,1226162,2012013056,50247767040,18276,2903505,13526,630437,2007660
4,2024-04-18 03:02:24.121051,1000.119,1057.579,1000.675,1000.095,3400.795,1001.337,1000.845,1000.92,1000.392,1040.163,1000.341,1000.811,1000.712,1040.291,1100.42,1000.778,1089.773,1000.343,1507.801,1000.716,1501.356,1000.234,1154.657,1601.113,1475.93,1000.437,1000.793,1334.473,1500.906,1000.496,1601.155,1601.178,2001.526,1601.096,1601.555,1000.535,1000.833,1086.907,1000.877,1000.341,3632.688,1000.127,1000.055,1000.619,1000.502,1013.214,1000.66,1000.964,1000.472,1041.761,1100.679,1000.585,1087.902,1000.736,1264.472,1000.658,1122.401,1000.737,1521.886,1601.356,1379.919,1000.656,1000.698,1006.288,1515.687,1000.673,1600.575,1600.904,2000.913,1601.346,1600.551,1000.729,343326419.0,0.19,0.05,0.01,0.0,0.0,0.0,0.0,192452895.0,0.0,0.0,0.0,7,2304,23040,1.5555555555555556,1.541666666666667,1.5138888888888888,404328329216,398145032192,1.5,3474296832,363009650688,9745166336,28069457920,794120192,37050261504,18735104,2403753984,2147479552,0,2147479552,0.0,0,0,59100,1226164,2012013056,50247803904,18276,2903516,13526,630444,2007676
5,2024-04-18 03:02:26.417496,1000.083,1000.363,1000.801,1000.53,3277.711,1001.117,1000.235,1000.178,1000.819,1001.328,1000.501,1000.859,1000.921,1000.407,1000.74,1000.081,1000.202,1000.618,1224.399,1000.843,1408.809,1000.203,1498.84,1601.022,1377.244,1000.662,1000.642,1401.172,1600.754,1000.807,1600.277,1600.651,2001.013,1601.675,1601.209,1000.485,1000.437,1000.456,1000.137,1000.721,3634.173,1000.065,1000.459,1000.479,1000.775,1000.714,1000.767,1000.374,1000.498,1000.644,1000.942,1000.529,1000.798,1000.904,1507.592,1000.436,1138.257,1001.148,1512.967,1600.845,1366.369,1000.871,1000.737,1401.003,1600.933,1000.827,1601.108,1601.223,2001.603,1600.725,1601.051,1000.89,343326580.0,0.16,0.05,0.01,0.0,0.0,0.0,0.0,192452895.0,0.0,0.0,0.0,57,2304,23040,1.541666666666667,1.541666666666667,1.5138888888888888,404328329216,398142443520,1.5,3476885504,363007062016,9747730432,28069462016,794120192,37050261504,18735104,2403753984,2147479552,0,2147479552,0.0,0,0,59100,1226165,2012013056,50247808000,18276,2903521,13526,630444,2007684
6,2024-04-18 03:02:28.713581,1000.66,1001.111,1000.626,1000.128,3672.717,1000.788,1001.219,1000.477,1000.529,1000.546,1000.601,1000.64,1000.388,1000.742,1000.807,1000.618,1000.639,1000.292,1548.864,1000.333,1404.254,1000.875,1209.81,1600.473,1272.27,1000.494,1000.624,1215.965,1600.647,1000.901,1601.229,1600.619,2001.828,1601.308,1498.217,1000.351,1000.826,1000.888,1000.347,1000.41,3624.608,1000.323,1000.072,1000.479,1000.34,1000.701,1000.893,1000.603,1000.966,1000.72,1000.562,1000.507,1000.468,1000.994,1463.424,1000.793,1139.807,1000.712,1514.909,1600.855,1351.284,1001.051,1000.781,1332.77,1601.326,1000.585,1600.856,1600.988,2001.437,1600.608,1512.255,1000.619,343326746.0,0.13,0.05,0.01,0.0,0.0,0.0,0.0,192452943.0,0.0,0.0,0.0,7,2304,23040,1.541666666666667,1.541666666666667,1.5138888888888888,404328329216,398138880000,1.5,3480449024,363003498496,9751347200,28069462016,794120192,37050261504,18735104,2403753984,2147479552,0,2147479552,0.0,0,0,59100,1226166,2012013056,50247816192,18276,2903527,13526,630445,2007692
7,2024-04-18 03:02:31.009582,1000.6,1000.41,1000.639,1000.495,3673.131,1000.769,1000.87,1001.009,1000.701,1000.754,1000.993,1000.616,1000.399,1000.483,1000.179,1000.852,1000.137,1001.089,1042.947,1000.466,1501.415,1001.041,1498.073,1601.223,1491.157,1000.744,1000.699,1348.239,1540.565,1000.42,1601.177,1096.867,2001.339,1600.449,1600.801,1000.64,1000.651,1000.681,1000.556,1000.939,3634.702,1001.003,1000.028,1000.742,1000.289,1000.888,1000.429,1000.429,1000.796,1000.575,1000.654,1000.916,1000.889,1000.886,1169.818,1000.64,1203.842,1000.721,1517.861,1600.94,1332.219,1000.606,1000.822,1342.824,1402.479,1000.448,1600.561,1451.189,2001.364,1600.676,1600.621,1000.804,343326952.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,192452943.0,0.0,0.0,0.0,5,2304,23040,1.527777777777778,1.541666666666667,1.5138888888888888,404328329216,398136557568,1.5,3482771456,363001176064,9753735168,28069466112,794120192,37050261504,18735104,2403753984,2147479552,0,2147479552,0.0,0,0,59100,1226167,2012013056,50247820288,18276,2903530,13526,630445,2007696
8,2024-04-18 03:02:33.308620,1000.163,1000.605,1000.575,1000.581,3398.605,1000.933,1000.419,1000.503,1000.51,1000.19,1000.969,1000.408,1000.678,1000.745,1000.544,1000.834,1000.126,1001.002,1519.046,1000.609,1499.78,1000.914,1294.802,1601.113,1357.617,1000.794,1000.746,1392.791,1469.405,1000.231,1497.064,1545.558,2001.513,1601.0,1601.11,1000.691,1000.85,1000.768,1000.463,1000.579,3618.477,1000.906,1000.724,1000.873,1001.105,1000.565,1000.582,1000.846,1000.854,1000.62,1000.428,1000.528,1001.314,1000.122,1503.774,1000.628,1200.969,1000.5,1500.424,1600.735,1366.279,1000.54,1000.586,1144.662,1530.02,1000.701,1512.929,1601.042,2000.775,1600.637,1600.553,1000.666,343327944.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,192452943.0,0.0,0.0,0.0,6,3468,23040,1.527777777777778,1.541666666666667,1.5138888888888888,404328329216,398125879296,1.5,3493449728,362990497792,9763405824,28069466112,794120192,37050261504,18735104,2403852288,2147479552,0,2147479552,0.0,0,0,59100,1226167,2012013056,50247820288,18276,2903530,13526,630445,2007696
9,2024-04-18 03:02:35.605265,1000.129,1000.801,1000.903,1001.081,3398.316,1000.504,1000.329,1000.71,1000.803,1000.369,1000.779,1000.444,1000.571,1000.264,1000.558,1000.197,1000.144,1000.918,1601.444,1000.465,1502.121,1000.9,1287.911,1600.957,1366.049,1000.732,1000.288,1348.448,1410.922,1000.874,1500.012,1498.539,2001.517,1601.403,1601.06,1000.746,1000.917,1000.796,1000.766,1000.795,3618.82,1000.537,1000.597,1000.58,1000.817,1000.706,1000.732,1000.626,1000.634,1000.621,1000.651,1000.662,1000.138,1000.069,1530.883,1001.016,1206.436,1000.753,1503.812,1600.945,1363.846,1000.491,1000.569,1343.081,1346.194,1000.82,1517.116,1459.807,2001.163,1600.978,1600.964,1000.651,343328158.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,192452978.0,0.0,0.0,0.0,7,3468,23040,1.527777777777778,1.541666666666667,1.5138888888888888,404328329216,398123380736,1.5,3495948288,362987999232,9766244352,28069470208,794120192,37050261504,18735104,2403852288,2147479552,0,2147479552,0.0,0,0,59100,1226169,2012013056,50247840768,18276,2903540,13526,630448,2007708
