,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-17 15:07:41.409291,1000.062,1000.349,1000.575,1000.617,1000.33,1000.633,1000.441,1000.699,1000.515,1000.762,1000.22,1000.571,1000.369,1000.021,1000.215,1000.398,1000.672,1000.258,1000.313,2157.421,2075.231,1782.846,1516.146,1159.566,1000.023,1000.023,1000.637,1000.567,1000.255,1000.62,1000.575,1000.496,1000.691,1001.713,1000.66,1000.374,1001.534,1000.599,1000.605,1000.131,1001.09,1000.555,1000.469,1000.605,1000.854,1000.288,1000.376,1000.469,1000.895,1001.322,1000.56,1000.595,1000.643,1000.782,1000.7,1369.611,2344.42,1182.272,1322.134,1222.616,1000.005,1000.313,1000.885,1000.809,1000.882,1000.797,1000.284,1000.638,1000.757,1000.117,1000.944,1000.39,320568117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191240366.0,0.0,0.0,0.0,0,6,23040,1.597222222222222,1.5694444444444442,1.5138888888888888,404328329216,399500812288,1.2,2129203200,365592563712,7784316928,27628212224,772571136,35833991168,8339456,2355007488,2147479552,0,2147479552,0.0,0,0,58275,1129449,1484311040,48993596416,17650,2598089,13483,590059,1854752
1,2024-04-17 15:07:43.683285,1000.053,1000.143,1000.107,1018.75,1017.863,1007.773,1011.754,1014.063,1013.734,1013.869,1016.711,1014.705,1012.578,1018.778,1018.065,1012.079,1018.778,1017.932,1119.469,1629.318,1621.608,1119.736,2305.361,1619.718,1627.635,1627.358,1420.958,1625.236,2038.095,1627.635,1630.516,1420.958,1636.608,1627.635,1628.864,2889.556,1014.063,1011.754,1011.919,1015.798,1007.887,1013.869,1014.705,1007.658,1017.898,1016.799,1017.898,1008.556,1016.711,1011.837,1015.901,1011.669,1023.794,1014.824,1122.013,1625.673,1625.673,1209.952,2327.38,1116.924,1617.981,1627.358,1424.109,1629.318,2028.571,1623.961,1220.071,2014.629,1627.186,1633.333,1632.963,3012.016,320614107.0,0.36,0.06,0.01,0.0,0.0,0.0,0.0,191240701.0,0.0,0.0,0.0,0,6,23040,1.5694444444444442,1.5555555555555556,1.5138888888888888,404328329216,399196839936,1.3,2432876544,365288206336,8063578112,27628433408,772575232,35834671104,8339456,2356899840,2147479552,0,2147479552,0.0,0,0,58275,1129451,1484311040,48993645568,17650,2598099,13483,590069,1854764
2,2024-04-17 15:07:45.970163,1000.107,1000.696,1001.008,1000.395,1000.3,1000.713,1000.321,1000.783,1000.408,1000.251,1000.239,1000.296,1000.877,1000.721,1000.665,1000.788,1000.729,1000.454,1590.181,1601.209,1400.979,1458.149,2033.385,1600.472,1572.047,2181.329,1558.504,1601.109,1601.404,1601.626,1402.565,1547.95,1513.855,1601.159,1601.431,3386.669,1001.215,1000.673,1000.413,1000.456,1000.626,1000.688,1000.145,1000.676,1000.566,1000.886,1000.778,1000.534,1000.785,1000.582,1000.574,1000.866,1000.827,1000.732,1555.33,1601.004,1400.937,1314.943,2140.406,1601.397,1576.674,1961.661,1592.806,1601.019,1600.644,1600.801,1400.208,1539.653,1569.105,1600.487,1601.149,3614.113,320621640.0,0.29,0.06,0.01,0.0,0.0,0.0,0.0,191240903.0,0.0,0.0,0.0,18,644,23040,1.5694444444444442,1.5555555555555556,1.5138888888888888,404328329216,398155771904,1.5,3463503872,364246601728,8978886656,27639345152,772575232,35845648384,18825216,2363846656,2147479552,0,2147479552,0.0,0,0,58275,1129453,1484311040,48993694720,17650,2598109,13483,590079,1854776
3,2024-04-17 15:07:48.264565,1000.11,1000.753,1000.324,1000.581,1000.159,1000.915,1000.758,1000.613,1000.835,1001.053,1000.87,1000.463,1000.674,1000.197,1000.715,1000.835,1000.43,1000.844,1171.354,1549.197,1349.488,1213.279,1961.056,1352.645,1265.155,1417.186,1398.822,1601.341,1420.264,1601.503,1254.591,1547.86,1208.543,1600.595,1601.265,3617.314,1001.148,1000.93,1000.469,1000.194,1001.027,1000.57,1000.263,1000.362,1000.787,1000.824,1000.522,1000.589,1000.511,1000.278,1000.618,1000.476,1000.652,1000.555,1025.416,1542.042,1342.292,1270.22,2152.043,1550.697,1353.393,1402.523,1474.741,1600.623,1530.897,1601.217,1106.868,1410.983,1138.661,1601.016,1600.615,3621.851,320621911.0,0.24,0.06,0.01,0.0,0.0,0.0,0.0,191240903.0,0.0,0.0,0.0,18,644,23040,1.5555555555555556,1.5555555555555556,1.5138888888888888,404328329216,398148956160,1.5,3470319616,364239785984,8985497600,27639345152,772575232,35845648384,18825216,2363977728,2147479552,0,2147479552,0.0,0,0,58275,1129453,1484311040,48993694720,17650,2598109,13483,590079,1854776
4,2024-04-17 15:07:50.557537,1000.059,1000.817,1000.701,1000.347,1000.729,1000.905,1000.737,1000.905,1000.707,1000.519,1000.596,1000.784,1000.885,1000.088,1000.509,1000.421,1000.641,1000.848,1000.631,1409.2,1215.984,1101.125,2037.19,1177.296,1267.553,1415.714,1451.826,1414.8,1548.742,1601.241,1353.392,1168.759,1211.449,1600.678,1601.135,3471.682,1001.077,1000.368,1000.526,1000.604,1000.465,1000.735,1000.57,1000.362,1000.939,1001.0,1000.668,1000.289,1000.507,1000.804,1001.09,1000.618,1000.507,1000.56,1000.405,1408.588,1333.033,1100.351,2142.19,1175.095,1355.27,1532.69,1460.386,1346.009,1543.707,1601.338,1361.923,1081.06,1264.687,1600.585,1600.956,3619.173,320622108.0,0.19,0.05,0.01,0.0,0.0,0.0,0.0,191240983.0,0.0,0.0,0.0,19,644,23040,1.5555555555555556,1.5555555555555556,1.5138888888888888,404328329216,398145003520,1.5,3474268160,364235833344,8988884992,27639349248,772579328,35845648384,18825216,2364018688,2147479552,0,2147479552,0.0,0,0,58275,1129455,1484311040,48993752064,17650,2598119,13483,590091,1854792
5,2024-04-17 15:07:52.861379,1000.064,1000.668,1000.35,1000.491,1000.803,1000.488,1000.458,1000.667,1000.724,1000.255,1000.89,1000.578,1000.542,1000.11,1000.638,1000.699,1000.768,1000.414,1000.667,1347.006,1349.295,1000.687,1865.793,1100.985,1041.791,1530.592,1450.4,1772.869,1455.81,1415.168,1351.82,1019.591,1265.133,1600.259,1601.068,3154.757,1001.167,1000.613,1000.552,1000.907,1000.483,1000.763,1000.377,1000.522,1000.464,1000.743,1000.812,1000.445,1001.006,1000.814,1000.564,1000.195,1000.634,1000.471,1000.681,1272.229,1209.017,1000.451,2011.964,1100.53,1090.232,1523.681,1324.271,1778.416,1310.688,1341.096,1139.329,1022.917,1293.883,1601.078,1601.101,3595.968,320622288.0,0.16,0.05,0.01,0.0,0.0,0.0,0.0,191241000.0,0.0,0.0,0.0,7,644,23040,1.541666666666667,1.5555555555555556,1.5138888888888888,404328329216,398142414848,1.5,3476856832,364233244672,8991858688,27639349248,772579328,35845648384,18825216,2364018688,2147479552,0,2147479552,0.0,0,0,58275,1129478,1484311040,48993854464,17650,2598208,13483,590093,1854800
6,2024-04-17 15:07:55.158164,1000.25,2123.588,1000.557,1000.553,1000.475,1000.696,1000.609,1000.638,1000.671,1000.089,1000.285,1000.666,1000.489,1000.555,1000.617,1000.644,1000.309,1000.484,1000.644,1361.948,1363.035,1000.863,1414.548,1089.803,1001.032,1531.547,1235.037,1564.251,1581.39,1555.812,1356.494,1077.573,1357.988,1600.417,1600.788,3170.27,1000.752,1273.606,1000.769,1000.247,1000.733,1001.037,1000.381,1000.825,1000.768,1000.48,1000.501,1000.896,1000.925,1000.137,1000.4,1000.851,1000.446,1000.572,1000.772,1346.659,1359.125,1000.635,1404.678,1057.646,1000.741,1522.34,1360.412,1558.076,1432.176,1469.113,1364.187,1177.427,1363.641,1600.601,1600.82,3635.759,320622394.0,0.13,0.05,0.01,0.0,0.0,0.0,0.0,191241125.0,0.0,0.0,0.0,16,644,23040,1.541666666666667,1.5555555555555556,1.5138888888888888,404328329216,398137810944,1.5,3481460736,364228640768,8994955264,27639353344,772579328,35845648384,18825216,2363977728,2147479552,0,2147479552,0.0,0,0,58275,1129480,1484311040,48993874944,17650,2598218,13483,590096,1854812
7,2024-04-17 15:07:57.453480,1000.204,2149.089,1000.765,1000.306,1001.05,1000.998,1000.38,1000.85,1000.678,1000.59,1000.278,1000.377,1000.574,1000.732,1000.602,1000.879,1000.428,1000.678,1000.101,1000.704,1364.112,1000.498,1411.431,1058.098,1000.949,1420.819,1321.374,1535.142,1413.247,1280.894,1352.406,1000.593,1357.573,1601.358,1600.975,3147.799,1000.338,1290.176,1000.587,1000.758,1000.791,1000.463,1000.968,1000.782,1000.441,1000.54,1000.858,1000.69,1000.907,1000.425,1000.535,1000.352,1000.266,1000.778,1000.6,1000.652,1358.66,1000.666,1531.712,1086.631,1000.479,1534.648,1463.955,1526.172,1407.847,1289.856,1223.95,1000.579,1263.649,1600.821,1600.846,3631.437,320622631.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,191241137.0,0.0,0.0,0.0,18,648,23040,1.527777777777778,1.5555555555555556,1.5138888888888888,404328329216,398126919680,1.5,3492352000,364217749504,9005953024,27639341056,772579328,35845648384,18825216,2364018688,2147479552,0,2147479552,0.0,0,0,58275,1129539,1484311040,48994182144,17650,2598267,13483,590097,1854820
8,2024-04-17 15:07:59.749373,1000.336,2162.108,1000.589,1000.664,1000.336,1000.589,1000.74,1000.836,1000.879,1000.683,1000.844,1000.798,1000.851,1000.091,1000.156,1000.141,1000.206,1000.36,1000.527,1000.91,1121.835,1000.084,1414.139,1058.606,1000.746,1416.956,1314.103,1415.583,1578.436,1520.418,1217.682,1000.199,1327.314,1601.137,1601.609,3176.713,1000.665,1272.917,1000.857,1000.143,1000.825,1000.537,1000.833,1000.562,1000.925,1000.33,1000.675,1000.887,1000.685,1000.11,1000.74,1000.66,1000.755,1000.706,1000.492,1000.569,1320.71,1000.949,1531.278,1086.008,1000.377,1531.872,1446.553,1534.568,1443.8,1533.427,1263.984,1000.187,1375.303,1600.897,1601.023,3626.79,320622952.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,191241208.0,0.0,0.0,0.0,8,648,23040,1.527777777777778,1.5555555555555556,1.5138888888888888,404328329216,398124081152,1.5,3495190528,364214910976,9008656384,27639341056,772579328,35845648384,18825216,2364010496,2147479552,0,2147479552,0.0,0,0,58275,1129541,1484311040,48994214912,17650,2598277,13483,590103,1854836
9,2024-04-17 15:08:02.045985,1000.304,2158.87,1000.485,1000.565,1000.749,1000.421,1000.824,1000.218,1000.598,1000.805,1000.776,1000.715,1000.707,1000.926,1000.341,1000.34,1000.82,1000.571,1000.301,1000.774,1386.664,1000.704,1546.488,1058.464,1000.938,1247.661,1284.485,1563.316,1502.248,1511.505,1351.131,1001.027,1203.713,1600.917,1600.517,3158.887,1000.67,1559.522,1000.96,1000.246,1000.472,1000.925,1000.458,1000.778,1000.691,1000.386,1001.06,1000.917,1000.677,1000.117,1000.761,1000.587,1000.533,1000.434,1000.862,1000.702,1325.066,1000.21,1540.487,1055.474,1000.549,1343.789,1414.037,1556.45,1257.31,1287.054,1140.544,1000.658,1375.833,1601.332,1600.943,3623.551,320623068.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,191241208.0,0.0,0.0,0.0,7,648,23040,1.527777777777778,1.5555555555555556,1.5138888888888888,404328329216,398119972864,1.5,3499298816,364210802688,9012908032,27639341056,772579328,35845648384,18825216,2364010496,2147479552,0,2147479552,0.0,0,0,58275,1129541,1484311040,48994214912,17650,2598277,13483,590103,1854836
