,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-17 13:13:05.411037,1783.61,1000.751,1260.626,1815.704,1000.168,1000.577,1000.246,1000.154,1000.387,1000.246,1000.145,1000.177,1000.299,1000.038,1000.449,1000.297,1000.211,1000.178,1002.541,1000.372,1000.323,1000.22,1000.258,1000.249,1000.304,1000.257,1000.222,1000.334,1000.383,1000.292,1000.118,1000.182,1000.374,1000.293,1000.281,1000.258,2185.418,1000.133,1327.653,1102.851,1000.021,1000.02,1000.32,1000.368,1000.293,1000.353,1000.499,1000.259,1000.298,1000.762,1000.21,1000.261,1000.433,1000.337,1010.015,1000.191,1000.334,1000.22,1000.301,1000.288,1000.271,1000.31,1000.302,1000.317,1000.442,1000.312,1000.182,1000.185,1000.201,1000.312,1000.193,1000.325,317689870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191098069.0,0.0,0.0,0.0,0,6,23040,1.6805555555555556,1.6527777777777777,1.5138888888888888,404328329216,399519596544,1.2,2109911040,365643689984,7768494080,27609391104,769351680,35805376512,8339456,2323005440,2147479552,0,2147479552,0.0,0,0,58275,1114517,1484311040,48890823680,17650,2561135,13483,584647,1831204
1,2024-04-17 13:13:07.689003,1000.074,1063.047,1044.864,1000.389,1000.526,1025.832,1000.246,1000.159,1000.08,2493.064,2250.883,1000.146,1000.512,1000.019,1000.515,1000.237,1000.349,1000.863,1226.664,1005.485,1110.925,1149.271,1466.46,1200.966,1203.087,1285.804,1911.259,2056.804,1920.341,1263.479,1298.928,1157.887,1614.77,1541.7,1738.705,1437.324,1001.842,1611.942,1570.11,1000.476,1000.15,1005.153,1000.955,1001.237,1000.684,1101.949,1698.026,1001.082,1000.088,1000.701,1000.101,1001.044,1000.889,1000.188,1010.246,1455.721,1846.538,1347.987,2022.247,1888.193,1874.423,2089.603,2086.635,1290.594,1276.329,1301.375,1415.816,1694.197,1057.535,1503.115,1407.198,1702.369,317733762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191098097.0,0.0,0.0,0.0,0,6,23040,1.6527777777777777,1.6388888888888886,1.5138888888888888,404328329216,399235514368,1.3,2394247168,365358903296,8031928320,27609776128,769351680,35805827072,8339456,2324635648,2147479552,0,2147479552,0.0,0,0,58275,1114529,1484311040,48891065344,17650,2561202,13483,584673,1831236
2,2024-04-17 13:13:09.982371,1000.024,1600.985,2262.646,1089.261,1000.912,1000.545,1000.186,1000.41,1000.245,1000.096,1089.288,1000.194,1000.406,1000.047,1000.655,1000.192,1000.784,3119.446,1040.272,1005.288,1088.368,1033.138,1090.678,1028.639,1239.807,1243.079,1108.839,1257.027,1256.954,1259.968,1258.877,1634.267,1190.574,1186.06,1131.447,1080.401,1001.127,1600.925,1554.524,1088.226,1000.932,1000.751,1000.668,1000.52,1000.989,1001.129,1088.297,1000.163,1000.533,1001.008,1000.655,1000.384,1000.722,3574.454,1034.537,1055.788,1072.694,1028.306,1076.306,1155.458,1247.818,1420.476,1488.725,1304.984,1237.568,1396.688,1411.742,2180.545,1313.985,1500.639,1432.765,1423.199,317736041.0,0.29,0.06,0.01,0.0,0.0,0.0,0.0,191098097.0,0.0,0.0,0.0,5,644,23040,1.6527777777777777,1.6388888888888886,1.5138888888888888,404328329216,398179495936,1.5,3439779840,364302172160,8962220032,27620696064,769351680,35817025536,18825216,2331406336,2147479552,0,2147479552,0.0,0,0,58275,1114529,1484311040,48891065344,17650,2561202,13483,584673,1831236
3,2024-04-17 13:13:12.279275,1000.064,1289.367,2002.973,1000.431,1000.703,1000.374,1000.766,1000.237,1000.047,1000.009,1000.71,1000.61,1000.665,1000.578,1000.809,1000.527,1000.628,3137.018,1000.408,1275.409,1243.531,1116.686,1304.498,1218.173,1235.557,1045.439,1102.058,1249.617,1256.867,1051.061,1501.231,1399.467,1131.621,1336.509,1253.435,1000.718,1001.147,1287.981,2224.377,1000.589,1000.534,1000.408,1000.136,1000.35,1000.449,1000.157,1000.57,1000.611,1000.762,1000.605,1000.671,1000.319,1000.636,3587.333,1000.347,1028.126,1142.479,1066.879,1183.063,1050.389,1049.995,1125.237,1241.471,1582.878,1487.968,1254.054,1426.53,1922.072,1194.226,1050.916,1301.787,1000.562,317736224.0,0.24,0.06,0.01,0.0,0.0,0.0,0.0,191098097.0,0.0,0.0,0.0,6,644,23040,1.625,1.6388888888888886,1.5138888888888888,404328329216,398173204480,1.5,3446071296,364295880704,8968876032,27620696064,769351680,35817025536,18825216,2331414528,2147479552,0,2147479552,0.0,0,0,58275,1114529,1484311040,48891065344,17650,2561202,13483,584673,1831236
4,2024-04-17 13:13:14.573842,1000.042,1059.299,1085.938,1000.39,1000.664,1100.573,1000.682,1000.234,1000.573,1996.791,1000.732,1000.878,1000.857,1000.792,1000.738,1000.845,1000.659,3148.715,1002.485,1190.379,1008.585,1033.842,1091.63,1032.341,1005.932,1195.105,1354.545,1357.647,1191.238,1000.605,1050.632,1186.045,1048.592,1178.816,1125.646,1000.964,1000.512,1085.655,1013.614,1000.868,1000.305,1100.972,1000.762,1000.876,1000.854,1869.667,1000.431,1000.524,1000.634,1000.534,1000.869,1000.718,1000.286,3590.546,1043.317,1160.478,1051.381,1111.99,1294.318,1308.93,1348.057,1345.937,1358.941,1190.096,1239.827,1253.544,1421.99,2195.154,1350.218,1357.784,1131.713,1000.703,317736504.0,0.19,0.05,0.01,0.0,0.0,0.0,0.0,191098176.0,0.0,0.0,0.0,7,644,23040,1.625,1.6388888888888886,1.5138888888888888,404328329216,398168952832,1.5,3450318848,364291596288,8972578816,27620700160,769355776,35817058304,18825216,2331783168,2147479552,0,2147479552,0.0,0,0,58275,1114531,1484311040,48891114496,17650,2561212,13483,584683,1831248
5,2024-04-17 13:13:16.870063,1000.03,1000.882,1000.86,1000.637,1000.558,1059.478,1000.979,1000.514,1000.144,2108.742,1000.677,1000.85,1000.56,1000.062,1000.913,1000.871,1000.542,3144.212,1040.25,1192.783,1010.17,1116.005,1757.324,1433.459,1431.022,1338.783,1357.799,1132.775,1006.326,1000.951,1000.702,1000.706,1000.746,1172.159,1130.355,1000.586,1000.81,1000.566,1000.805,1000.532,1000.75,1086.241,1000.042,1000.728,1000.944,1921.811,1000.707,1001.017,1000.002,1000.554,1000.072,1000.84,1000.813,3569.882,1034.722,1162.054,1050.659,1065.648,1536.142,1290.086,1317.826,1182.312,1356.611,1194.683,1248.44,1052.643,1053.257,1000.664,1126.212,1187.905,1193.964,1000.489,317736805.0,0.16,0.05,0.01,0.0,0.0,0.0,0.0,191098176.0,0.0,0.0,0.0,17,644,23040,1.7222222222222223,1.6527777777777777,1.5138888888888888,404328329216,398166073344,1.5,3453198336,364288684032,8975310848,27620700160,769355776,35817091072,18825216,2331865088,2147479552,0,2147479552,0.0,0,0,58275,1114531,1484311040,48891114496,17650,2561212,13483,584683,1831248
6,2024-04-17 13:13:19.170288,1000.046,1000.959,1000.537,1000.286,1000.843,1000.803,1000.133,1000.819,1000.014,2246.629,1000.706,1000.297,1000.565,1000.198,1000.283,1000.686,1000.354,3147.562,1039.901,1191.545,1009.536,1115.767,1202.235,1000.717,1049.106,1051.271,1107.83,1239.869,1241.204,1129.683,1500.92,1133.679,1500.368,1306.378,1303.929,1000.991,1001.546,1000.433,1000.962,1000.79,1000.656,1000.668,1000.649,1000.308,1000.241,1742.671,1000.435,1000.686,1000.394,1000.462,1000.629,1000.716,1000.57,3587.238,1034.241,1158.122,1051.925,1032.265,1022.493,1223.738,1246.959,1345.178,1409.815,1500.983,1500.818,1193.99,1331.507,1358.2,1424.086,1043.793,1176.543,1000.645,317737069.0,0.13,0.05,0.01,0.0,0.0,0.0,0.0,191098236.0,0.0,0.0,0.0,5,644,23040,1.7222222222222223,1.6527777777777777,1.5138888888888888,404328329216,398162968576,1.5,3456303104,364285579264,8978411520,27620708352,769355776,35817091072,18825216,2331865088,2147479552,0,2147479552,0.0,0,0,58275,1114533,1484311040,48891126784,17650,2561221,13483,584684,1831260
7,2024-04-17 13:13:21.470216,1000.039,1000.43,1000.829,1000.767,1000.675,1000.486,1000.081,1000.703,2070.251,1000.521,1000.916,1000.639,1000.381,1000.532,1000.844,1000.503,1000.243,3145.505,1000.732,1000.219,1000.21,1000.158,1092.589,1182.267,1233.637,1101.627,1238.876,1234.766,1421.797,1124.543,1306.205,1185.71,1312.828,1315.549,1256.681,1000.412,1001.358,1000.426,1000.318,1000.864,1000.844,1000.594,1000.949,1000.459,1996.492,1000.705,1000.621,1000.451,1000.487,1000.362,1000.647,1000.636,1000.665,3584.002,1000.397,1001.066,1001.281,1000.51,1076.073,1084.736,1103.291,1044.874,1051.195,1050.063,1178.592,1128.04,1044.428,1000.614,1302.48,1235.355,1308.431,1000.67,317737303.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,191098250.0,0.0,0.0,0.0,4,644,23040,1.6944444444444442,1.6527777777777777,1.5138888888888888,404328329216,398150615040,1.5,3468668928,364273172480,8990695424,27620712448,769355776,35817132032,18825216,2332160000,2147479552,0,2147479552,0.0,0,0,58275,1114551,1484311040,48891208704,17650,2561311,13483,584686,1831268
8,2024-04-17 13:13:23.769664,1000.047,1000.536,1000.508,1001.102,1000.443,1000.788,1000.358,1000.065,2039.832,1000.679,1001.002,1000.747,1000.984,1000.424,1000.119,1000.682,1000.328,3389.608,1000.408,1017.114,1009.296,1033.233,1197.201,1155.729,1044.303,1173.811,1175.064,1005.937,1006.016,1000.829,1005.501,1005.607,1000.342,1348.174,1422.576,1000.586,1001.671,1000.584,1000.446,1000.594,1000.883,1000.232,999.999,1000.94,1990.861,1000.526,1000.498,1000.564,1000.338,1000.541,1000.801,1000.02,1000.456,3554.234,1000.226,1088.104,1205.256,1027.925,1010.698,1040.192,1000.528,1007.083,1007.306,1350.636,1420.947,1051.38,1247.309,1184.172,1049.311,1007.154,1108.255,1000.46,317737599.0,0.08,0.05,0.01,0.0,0.0,0.0,0.0,191098367.0,0.0,0.0,0.0,3,648,23040,1.6944444444444442,1.6527777777777777,1.5138888888888888,404328329216,398136283136,1.5,3482996736,364258807808,9004797952,27620712448,769359872,35817164800,18825216,2332348416,2147479552,0,2147479552,0.0,0,0,58275,1114553,1484311040,48891233280,17650,2561326,13483,584690,1831284
9,2024-04-17 13:13:26.071123,1000.037,1000.486,1000.365,1000.024,1000.618,1000.238,1000.806,1000.949,2205.747,1000.878,1000.659,1000.214,1000.561,1000.745,1000.73,1001.173,1000.82,3142.936,1000.612,1007.558,1000.23,1000.459,1008.144,1223.83,1411.639,1491.304,1312.68,1303.526,1308.055,1044.743,1239.529,1251.393,1246.608,1247.409,1243.509,999.925,1001.413,1001.074,1000.933,1000.234,1000.766,1002.192,1000.615,1000.573,1658.352,1000.375,1000.657,1000.707,1000.775,1000.915,1000.573,1000.16,1000.661,3581.73,1000.635,1476.162,1134.283,1000.67,1589.875,1269.291,1130.306,1050.813,1177.926,1176.352,1172.173,1000.709,1000.837,1045.533,1042.988,1042.914,1044.379,1000.617,317737890.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,191098367.0,0.0,0.0,0.0,7,648,23040,1.6666666666666667,1.6527777777777777,1.5138888888888888,404328329216,398131642368,1.5,3487641600,364254162944,9009426432,27620712448,769359872,35817164800,18825216,2332348416,2147479552,0,2147479552,0.0,0,0,58275,1114553,1484311040,48891233280,17650,2561326,13483,584690,1831284
