,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-17 20:44:15.798396,1000.057,1000.564,1000.171,1000.447,1000.331,1000.77,1000.275,1000.534,1000.615,1023.845,1000.029,1000.428,1000.443,1000.219,1000.104,1328.593,1000.372,1000.277,1807.322,1168.9,1000.277,1000.025,1000.32,1000.156,1000.131,1000.184,1000.544,1000.376,1000.28,1000.513,1000.22,1000.261,1000.22,1000.21,1000.379,1287.522,1001.068,1000.485,1001.064,1000.545,1000.316,1000.069,1000.482,1000.116,1000.124,1069.899,1000.295,1000.329,1000.28,1000.307,1000.389,1246.459,1000.382,1000.201,2373.947,1072.614,1000.02,1000.512,1000.081,1000.379,1000.202,1000.24,1000.123,1000.231,1000.457,1000.467,1000.138,1000.184,1000.318,1000.166,1000.133,2168.571,330344173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191856050.0,0.0,0.0,0.0,0,6,23040,1.583333333333333,1.527777777777778,1.5138888888888888,404328329216,399464722432,1.2,2164604928,364415213568,8539959296,27985661952,783499264,36965011456,8273920,2411053056,2147479552,0,2147479552,0.0,0,0,59100,1176301,2012013056,49874338816,18276,2783130,13526,609434,1928300
1,2024-04-17 20:44:18.060637,1000.09,1000.441,1000.648,1000.237,1000.529,1000.549,1000.347,1000.539,1000.616,1000.343,1000.569,1000.758,1000.695,1000.62,1000.35,1000.107,1000.622,1000.65,2299.916,2073.205,1000.599,1000.642,1067.038,2193.331,2301.03,2615.376,2300.608,2301.337,2301.32,2300.765,2300.856,2301.163,2301.272,2300.693,2301.284,3232.347,1001.099,1001.062,1000.989,1000.624,1000.631,1000.776,1000.433,1000.844,1000.692,1001.191,1000.638,1000.828,1000.766,1000.408,1000.542,1000.788,1000.727,1000.529,2295.469,2095.555,1000.521,1000.78,1065.02,2106.321,2301.115,2693.219,2301.729,2301.571,2301.119,2301.613,2301.572,2301.091,2301.509,2301.22,2301.376,3532.024,330378757.0,0.18,0.03,0.0,0.0,0.0,0.0,0.0,191856050.0,0.0,0.0,0.0,0,6,23040,1.5694444444444442,1.527777777777778,1.5138888888888888,404328329216,399162003456,1.3,2467831808,364112183296,8820310016,27985903616,783499264,36964814848,8273920,2412769280,2147479552,0,2147479552,0.0,0,0,59100,1176301,2012013056,49874338816,18276,2783130,13526,609434,1928300
2,2024-04-17 20:44:20.353338,1000.038,1000.538,1000.872,1000.482,1000.493,1001.559,1000.782,1000.581,1000.734,1000.499,1000.403,1000.572,1000.633,1000.218,1000.333,1000.491,1000.738,1000.869,2075.266,1167.08,1216.026,1963.535,1589.872,1408.557,1201.753,1346.052,1600.577,1600.218,1601.253,1482.173,1601.186,1600.82,1600.798,1601.215,1600.561,3037.225,1000.955,1000.358,1000.968,1000.072,1000.717,1000.195,1000.643,1000.772,1000.875,1000.158,1000.365,1000.719,1000.883,1000.666,1000.596,1000.33,1000.399,1000.702,2149.564,1278.749,1267.042,2173.492,1489.168,1437.669,1324.232,1252.22,1601.353,1600.795,1601.546,1516.171,1601.375,1600.735,1600.557,1600.831,1600.751,3580.876,330380495.0,0.14,0.03,0.0,0.0,0.0,0.0,0.0,191856319.0,0.0,0.0,0.0,18,644,23040,1.5694444444444442,1.527777777777778,1.5138888888888888,404328329216,398123302912,1.5,3496038400,363072954368,9734852608,27996823552,783503360,36975833088,18759680,2419945472,2147479552,0,2147479552,0.0,0,0,59100,1176305,2012013056,49874441216,18276,2783150,13526,609455,1928324
3,2024-04-17 20:44:22.650010,1000.062,1000.689,1001.011,1000.712,1000.288,1001.005,1000.655,1000.764,1000.598,1000.91,1000.8,1000.703,1000.85,1000.225,1000.778,1000.957,1000.695,1000.666,1909.137,1000.829,1000.729,1970.297,1369.189,1399.742,1186.213,1533.88,1601.308,1601.241,1600.822,1573.144,1600.914,1601.113,1602.101,1600.93,1600.842,3031.358,1000.773,1000.891,1000.064,1000.294,1000.734,1000.117,1000.56,1000.104,1000.13,1000.483,1000.912,1000.621,1000.542,1000.9,1000.555,1000.738,1000.315,1000.422,1949.297,1000.128,1000.076,1950.522,1359.022,1390.268,1279.036,1358.5,1601.033,1600.629,1601.488,1518.159,1600.859,1600.316,1601.178,1600.182,1601.096,3587.804,330380762.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,191856319.0,0.0,0.0,0.0,17,644,23040,1.5555555555555556,1.527777777777778,1.5138888888888888,404328329216,398115160064,1.5,3504181248,363064811520,9741516800,27996823552,783503360,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176305,2012013056,49874441216,18276,2783150,13526,609455,1928324
4,2024-04-17 20:44:24.946256,1000.07,1000.226,1000.687,1000.749,1000.521,1001.299,1000.516,1000.387,1000.577,1000.245,1000.608,1000.522,1000.582,1000.444,1000.752,1000.422,1000.949,1000.754,1953.31,1000.82,1000.791,2285.218,1322.042,1451.869,1163.099,1079.668,1601.373,1601.272,1600.445,1406.85,1601.105,1601.039,1601.048,1600.75,1601.297,3042.308,1001.783,1000.062,1000.304,1000.243,1000.266,1000.186,1000.498,1000.406,1000.081,1000.53,1000.154,1000.639,1000.834,1000.56,1000.764,1000.621,1000.764,1000.407,1989.411,1000.6,1000.13,2249.492,1456.99,1318.382,1214.75,1112.178,1600.865,1601.182,1601.288,1542.452,1600.85,1601.14,1600.823,1601.451,1601.21,3589.397,330380905.0,0.09,0.02,0.0,0.0,0.0,0.0,0.0,191856388.0,0.0,0.0,0.0,16,644,23040,1.5555555555555556,1.527777777777778,1.5138888888888888,404328329216,398112063488,1.5,3507277824,363061714944,9744445440,27996827648,783507456,36975828992,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176307,2012013056,49874453504,18276,2783159,13526,609456,1928336
5,2024-04-17 20:44:27.242877,1000.073,1000.189,1000.628,1000.472,1000.723,1000.82,1000.523,1000.577,1000.779,1000.543,1000.325,999.86,1000.025,1000.681,1000.961,1000.214,1000.822,1000.456,1962.806,1000.694,1000.68,1860.809,1241.446,1452.263,1176.364,1074.168,1600.942,1600.547,1601.039,1533.772,1601.334,1600.715,1600.755,1356.269,1600.92,3052.13,1001.405,1000.841,1000.072,1000.309,1000.425,1000.059,1000.96,1000.432,1000.549,1000.19,1000.624,1000.615,1000.608,1000.677,1000.677,1000.743,1000.465,1000.254,2026.097,1000.49,1000.159,2148.472,1421.541,1325.173,1279.284,1025.533,1600.63,1601.239,1600.897,1357.678,1600.858,1601.176,1600.848,1353.235,1600.559,3587.879,330381137.0,0.08,0.02,0.0,0.0,0.0,0.0,0.0,191856388.0,0.0,0.0,0.0,12,566,23040,1.5555555555555556,1.527777777777778,1.5138888888888888,404328329216,398108966912,1.5,3510370304,363058618368,9747542016,27996827648,783507456,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176307,2012013056,49874453504,18276,2783159,13526,609456,1928336
6,2024-04-17 20:44:29.535370,1000.055,1000.65,1000.827,1000.642,1000.804,1001.038,1000.662,1000.388,1000.742,1000.415,1000.694,1000.616,1000.69,1000.513,1000.675,1000.587,1000.713,1000.24,1958.078,1000.52,1000.445,2365.69,1463.073,1319.09,1212.188,1170.016,1601.555,1600.485,1601.139,1351.195,1601.451,1600.356,1601.607,1541.077,1600.721,3047.081,1001.27,1000.834,1000.63,1000.57,1000.351,1000.191,1000.436,1000.35,1000.649,1000.678,1000.745,1000.481,1000.535,1000.47,1000.451,1000.783,1000.674,1000.781,2024.266,1000.911,1000.154,2332.448,1456.286,1368.073,1223.697,1025.916,1600.983,1600.859,1600.97,1252.335,1600.695,1600.731,1600.738,1347.548,1600.782,3616.807,330381323.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,191856435.0,0.0,0.0,0.0,5,644,23040,1.541666666666667,1.527777777777778,1.5138888888888888,404328329216,398105358336,1.5,3513978880,363055009792,9751330816,27996827648,783507456,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176309,2012013056,49874478080,18276,2783169,13526,609460,1928352
7,2024-04-17 20:44:31.828738,1000.051,1001.053,1000.167,1000.729,1000.804,1001.086,1000.899,1000.848,1000.832,1000.514,1000.328,1000.574,1000.199,1000.271,1000.506,1000.894,1000.457,1000.661,1960.747,1000.325,1000.448,2276.628,1362.142,1318.699,1352.933,1169.185,1601.146,1601.314,1601.308,1538.861,1600.951,1601.304,1601.168,1547.921,1600.984,3033.021,1001.318,1000.244,1000.104,1000.585,1000.845,1000.126,1000.672,1000.497,1000.508,1001.038,1000.95,1000.432,1000.799,1000.32,1000.298,1000.595,1000.517,1000.601,2046.716,1000.716,1000.755,2238.604,1325.01,1367.22,1222.044,1026.597,1601.235,1600.618,1601.423,1549.773,1601.125,1600.461,1601.063,1541.467,1601.319,3623.447,330381601.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,191856435.0,0.0,0.0,0.0,16,648,23040,1.541666666666667,1.527777777777778,1.5138888888888888,404328329216,398094262272,1.5,3525074944,363043913728,9761845248,27996827648,783507456,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176330,2012013056,49874572288,18276,2783204,13526,609462,1928356
8,2024-04-17 20:44:34.120978,1000.075,1000.41,1000.885,1000.091,1000.506,1000.412,1000.19,1000.535,1000.607,1000.355,1001.109,1000.834,1000.442,1000.557,1000.767,1000.819,1000.678,1000.56,1874.886,1000.427,1000.344,1893.937,1368.551,1317.041,1209.579,1169.293,1601.166,1564.964,1600.87,1200.75,1600.697,1600.766,1601.168,1411.548,1600.482,3162.771,1001.15,1000.693,1000.55,1000.507,1000.588,1000.657,1001.033,1000.688,1000.872,1000.814,1000.794,1000.938,1000.584,1000.803,1000.987,1000.609,1000.55,1000.758,2022.203,1000.544,1000.614,2343.237,1450.995,1464.411,1139.192,1025.542,1601.404,1560.067,1600.435,1200.734,1601.128,1600.657,1601.235,1340.575,1600.853,3621.154,330381737.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,191856435.0,0.0,0.0,0.0,17,648,23040,1.527777777777778,1.527777777777778,1.5138888888888888,404328329216,398091657216,1.5,3527655424,363041333248,9764724736,27996831744,783507456,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176330,2012013056,49874572288,18276,2783204,13526,609462,1928356
9,2024-04-17 20:44:36.414170,1000.067,1000.656,1000.845,1000.58,1000.632,1001.315,1000.88,1000.449,1000.787,1000.37,1000.752,1000.927,1000.599,1000.678,1000.518,1000.252,1000.796,1000.735,1894.652,1086.604,1000.657,1957.198,1369.588,1434.62,1213.916,1075.418,1601.23,1414.881,1600.595,1074.997,1601.502,1600.662,1600.602,1540.77,1601.274,3153.801,1001.109,1000.519,1000.942,1000.535,1000.909,1000.15,1000.643,1001.088,1000.338,1000.588,1000.811,1000.296,1000.482,1000.544,1000.575,1000.546,1000.694,1000.955,2032.589,1042.995,1000.609,2443.893,1451.966,1258.52,1362.749,1081.09,1601.08,1533.404,1600.82,1080.424,1601.267,1601.006,1600.442,1350.95,1600.807,3621.946,330381927.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,191856498.0,0.0,0.0,0.0,7,648,23040,1.527777777777778,1.527777777777778,1.5138888888888888,404328329216,398090133504,1.5,3529203712,363039784960,9766436864,27996831744,783507456,36975833088,18759680,2420281344,2147479552,0,2147479552,0.0,0,0,59100,1176332,2012013056,49874584576,18276,2783214,13526,609463,1928372
