,0
vm_percent,26.03333333333333
swap_percent,0.0
cpuloadavg_1min,13.856336805555555
cpuloadavg_5min,13.559299045138891
cpu_0,2890.1533333333336
cpu_1,2870.7883333333334
cpu_psi_total,106795191.66666667
mem_psi_total,217134.0
io_psi_total,940417676.6666666
acc,55.000001192092896
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,alexnet
batchsz_arg,4
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
