,0
vm_percent,24.833333333333332
swap_percent,0.0
cpuloadavg_1min,11.532931857638891
cpuloadavg_5min,16.292317708333332
cpu_0,4137.924333333333
cpu_1,4089.6620000000003
cpu_psi_total,115424317.33333333
mem_psi_total,220651.0
io_psi_total,950464799.0
acc,39.60000276565552
prune_config,ln_structured
prune_ratio,0.30000000000000004
model_name,alexnet
batchsz_arg,64
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
