,0
vm_percent,26.133333333333336
swap_percent,0.0
cpuloadavg_1min,16.68158637152778
cpuloadavg_5min,13.936360677083334
cpu_0,3692.6299999999997
cpu_1,3696.2853333333333
cpu_psi_total,154016104.66666666
mem_psi_total,220655.0
io_psi_total,1014773203.6666666
acc,70.6000030040741
prune_config,l1_unstructured
prune_ratio,0.2
model_name,googlenet
batchsz_arg,16
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
