,0
vm_percent,26.53333333333333
swap_percent,0.0
cpuloadavg_1min,29.92892795138889
cpuloadavg_5min,20.484754774305557
cpu_0,3986.179666666667
cpu_1,4109.166333333334
cpu_psi_total,164455775.66666666
mem_psi_total,223035.0
io_psi_total,1023742344.0
acc,52.799999713897705
prune_config,ln_structured
prune_ratio,0.30000000000000004
model_name,googlenet
batchsz_arg,32
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
