,0
vm_percent,26.033333333333335
swap_percent,0.0
cpuloadavg_1min,14.359537760416666
cpuloadavg_5min,10.248480902777777
cpu_0,3960.8390000000004
cpu_1,4053.5270000000005
cpu_psi_total,75485664.0
mem_psi_total,214796.0
io_psi_total,911033741.3333334
acc,NDF-OOM
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,resnet
batchsz_arg,128
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
