,0
vm_percent,26.066666666666666
swap_percent,0.0
cpuloadavg_1min,17.05050998263889
cpuloadavg_5min,19.567871093749996
cpu_0,3974.4130000000005
cpu_1,2890.052333333333
cpu_psi_total,90468277.33333333
mem_psi_total,217120.0
io_psi_total,923428769.6666666
acc,NDF-OOM
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,resnet
batchsz_arg,128
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
