,0
vm_percent,25.96666666666667
swap_percent,0.0
cpuloadavg_1min,14.987521701388891
cpuloadavg_5min,17.993164062499996
cpu_0,3742.6710000000003
cpu_1,3746.905666666667
cpu_psi_total,93499515.66666667
mem_psi_total,217120.0
io_psi_total,925784649.6666666
acc,26.600000262260437
prune_config,random_unstructured
prune_ratio,0.1
model_name,resnet
batchsz_arg,32
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
