,0
vm_percent,27.53333333333333
swap_percent,0.0
cpuloadavg_1min,11.602105034722223
cpuloadavg_5min,13.826497395833334
cpu_0,3697.562333333333
cpu_1,3220.3709999999996
cpu_psi_total,145015516.0
mem_psi_total,220651.0
io_psi_total,997262453.8333334
acc,16.00000113248825
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,vgg16
batchsz_arg,4
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
