,0
vm_percent,26.099999999999998
swap_percent,0.0
cpuloadavg_1min,13.92822265625
cpuloadavg_5min,13.395182291666666
cpu_0,3959.9216666666666
cpu_1,3992.6299999999997
cpu_psi_total,149053580.66666666
mem_psi_total,220651.0
io_psi_total,1004949335.0
acc,NDF-OOM
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,16
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
