,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-19 06:26:11.740050,86.4501953125,76.8310546875,72.45279947916666,3890036736,2812895232,27.7,885448704,1919242240,1166352384,467222528,109473792,975872000,7143424,195162112,8589930496,59334656,8530595840,0.7,0,512000,1081733,354119,29383355392,38391087616,6442980,198436360,1378217,5243074,2194972
1,2024-04-19 06:26:13.749698,82.19401041666666,76.10677083333334,72.2412109375,3890036736,2702716928,30.5,995622912,1809039360,1276100608,467234816,109473792,975900672,7147520,195178496,8589930496,59334656,8530595840,0.7,0,520192,1081733,354119,29383355392,38391087616,6442980,198436360,1378217,5243074,2194972
2,2024-04-19 06:26:15.759111,82.19401041666666,76.10677083333334,72.2412109375,3890036736,2637361152,32.2,1060978688,1743683584,1341157376,467234816,109473792,975900672,7147520,195231744,8589930496,59334656,8530595840,0.7,0,520192,1081733,354135,29383355392,38391177728,6442980,198436536,1378217,5243080,2194992
3,2024-04-19 06:26:17.771703,82.19401041666666,76.10677083333334,72.2412109375,3890036736,2114916352,45.6,1583423488,1221230592,1862459392,467234816,109481984,975900672,7147520,195272704,8589930496,59334656,8530595840,0.7,0,1425408,1081733,354137,29383355392,38391226880,6442980,198436540,1378217,5243090,2194996
4,2024-04-19 06:26:19.781160,84.9609375,76.7822265625,72.4853515625,3890036736,1522446336,60.9,2163646464,629010432,2437967872,479199232,109481984,987897856,19140608,195547136,8589930496,59334656,8530595840,0.7,0,2039808,1081733,354137,29383355392,38391226880,6442980,198436540,1378217,5243090,2194996
5,2024-04-19 06:26:21.790075,84.9609375,76.7822265625,72.4853515625,3890036736,1485164544,61.8,2198769664,591474688,2472538112,481603584,109486080,990306304,21553152,195547136,8589930496,59334656,8530595840,0.7,0,2019328,1081733,354139,29383355392,38391300608,6442980,198436544,1378217,5243106,2195000
6,2024-04-19 06:26:23.798916,87.5,77.44954427083334,72.7294921875,3890036736,1465233408,62.3,2218700800,571539456,2492334080,481603584,109486080,990310400,21553152,195547136,8589930496,59334656,8530595840,0.7,0,2236416,1081733,354139,29383355392,38391300608,6442980,198436544,1378217,5243106,2195000
7,2024-04-19 06:26:25.815817,87.5,77.44954427083334,72.7294921875,3890036736,1180250112,69.7,2503684096,286539776,2776899584,481603584,109486080,990326784,21553152,195563520,8589930496,59334656,8530595840,0.7,0,2289664,1081733,354140,29383355392,38391308800,6442980,198436544,1378217,5243107,2195000
8,2024-04-19 06:26:27.825002,87.5,77.44954427083334,72.7294921875,3890036736,1501712384,61.4,2188111872,608063488,2462478336,475721728,109490176,984371200,15663104,195497984,8589930496,59334656,8530595840,0.7,0,1966080,1081733,354142,29383355392,38391333376,6442980,198436552,1378217,5243111,2195008
9,2024-04-19 06:26:29.858330,89.83561197916666,78.10872395833334,72.96549479166666,3890036736,1209966592,68.9,2484682752,316317696,2758447104,470913024,109490176,979546112,10838016,195497984,8589930496,59334656,8530595840,0.7,0,2027520,1081733,354143,29383355392,38391337472,6442980,198436552,1378217,5243111,2195008
