,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-20 12:31:28.176042,82.91829427083334,80.50944010416666,82.1044921875,3890036736,3516424192,9.6,221986816,3311382528,263831552,65310720,25526272,331141120,1728512,111960064,8589930496,110444544,8479485952,1.3,0,0,96681332,7442075,1064167578624,934006551040,268570900,5127181876,88480718,216720104,71952896
1,2024-04-20 12:31:30.185480,77.6123046875,79.443359375,81.74641927083334,3890036736,3409158144,12.4,329240576,3204100096,370810880,65323008,25526272,331169792,1732608,111980544,8589930496,110444544,8479485952,1.3,0,8192,96681332,7442075,1064167578624,934006551040,268570900,5127181876,88480718,216720104,71952896
2,2024-04-20 12:31:32.195024,77.6123046875,79.443359375,81.74641927083334,3890036736,3346612224,14.0,391786496,3141554176,433254400,65323008,25538560,331157504,1732608,112070656,8589930496,110444544,8479485952,1.3,0,8192,96681332,7442077,1064167578624,934006620672,268570900,5127181880,88480718,216720119,71952900
3,2024-04-20 12:31:34.203905,77.6123046875,79.443359375,81.74641927083334,3890036736,3188686848,18.0,549543936,2983616512,582107136,65490944,25538560,331337728,1900544,113631232,8589930496,110444544,8479485952,1.3,0,12288,96681332,7442077,1064167578624,934006620672,268570900,5127181880,88480718,216720119,71952900
4,2024-04-20 12:31:36.212758,80.74544270833334,80.06184895833334,81.94173177083334,3890036736,2847408128,26.8,860688384,2642317312,892698624,95567872,25559040,361472000,32034816,113631232,8589930496,110444544,8479485952,1.3,0,311296,96681332,7442077,1064167578624,934006620672,268570900,5127181880,88480718,216720119,71952900
5,2024-04-20 12:31:38.221998,80.74544270833334,80.06184895833334,81.94173177083334,3890036736,2488229888,36.0,1224564736,2283134976,1255997440,90873856,25559040,356777984,27336704,113631232,8589930496,110444544,8479485952,1.3,0,663552,96681332,7442078,1064167578624,934006628864,268570900,5127181880,88480718,216720120,71952900
6,2024-04-20 12:31:40.230950,82.29166666666666,80.3955078125,82.03938802083334,3890036736,2285096960,41.3,1427820544,2080002048,1458544640,90759168,25567232,356646912,27213824,113631232,8589930496,110444544,8479485952,1.3,0,999424,96681332,7442080,1064167578624,934006747648,268570900,5127181884,88480718,216720147,71952904
7,2024-04-20 12:31:42.239841,82.29166666666666,80.3955078125,82.03938802083334,3890036736,2296934400,41.0,1420804096,2091831296,1450434560,85946368,25567232,351834112,22392832,113631232,8589930496,110444544,8479485952,1.3,0,970752,96681332,7442105,1064167578624,934006891008,268570900,5127182312,88480718,216720157,71952940
8,2024-04-20 12:31:44.248853,82.29166666666666,80.3955078125,82.03938802083334,3890036736,2273755136,41.5,1448804352,2068652032,1479368704,81133568,25567232,347013120,17571840,113631232,8589930496,110444544,8479485952,1.3,0,983040,96681332,7442105,1064167578624,934006891008,268570900,5127182312,88480718,216720157,71952940
9,2024-04-20 12:31:46.258261,85.05045572916666,80.99772135416666,82.2265625,3890036736,2274197504,41.5,1453182976,2069094400,1483575296,76320768,25575424,342183936,12750848,113631232,8589930496,110444544,8479485952,1.3,0,987136,96681332,7442107,1064167578624,934006903296,268570900,5127182312,88480718,216720158,71952940
10,2024-04-20 12:31:48.267925,85.05045572916666,80.99772135416666,82.2265625,3890036736,2279022592,41.4,1453170688,2073919488,1483571200,71507968,25575424,337371136,7929856,113631232,8589930496,110444544,8479485952,1.3,0,987136,96681332,7442108,1064167578624,934006907392,268570900,5127182312,88480718,216720158,71952940
11,2024-04-20 12:31:50.276792,87.58951822916666,81.591796875,82.41373697916666,3890036736,2410729472,38.0,1326292992,2205614080,1355378688,66699264,25575424,332554240,3108864,113631232,8589930496,110444544,8479485952,1.3,0,987136,96681332,7442108,1064167578624,934006907392,268570900,5127182312,88480718,216720158,71952940
