,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-20 13:04:54.433858,75.68359375,81.48600260416666,83.14615885416666,3890036736,3511619584,9.7,225185792,3301232640,269103104,68403200,28872704,334745600,3014656,113192960,8589930496,110407680,8479522816,1.3,0,0,96681397,7443856,1064168565760,934030537216,268570984,5127197280,88480868,216724051,71955548
1,2024-04-20 13:04:56.443491,72.2900390625,80.68033854166666,82.87760416666666,3890036736,3402350592,12.5,334434304,3191951360,378191872,68431872,28872704,334778368,3018752,113192960,8589930496,110407680,8479522816,1.3,0,8192,96681397,7443856,1064168565760,934030537216,268570984,5127197280,88480868,216724051,71955548
2,2024-04-20 13:04:58.453025,72.2900390625,80.68033854166666,82.87760416666666,3890036736,3337056256,14.2,399728640,3126657024,443150336,68431872,28884992,334766080,3018752,113278976,8589930496,110407680,8479522816,1.3,0,12288,96681397,7443858,1064168565760,934030615040,268570984,5127197284,88480868,216724068,71955552
3,2024-04-20 13:05:00.526482,72.2900390625,80.68033854166666,82.87760416666666,3890036736,3000913920,22.9,729804800,2790514688,773357568,74498048,28884992,340832256,9084928,113311744,8589930496,110407680,8479522816,1.3,0,245760,96681397,7443858,1064168565760,934030615040,268570984,5127197284,88480868,216724068,71955552
4,2024-04-20 13:05:02.535420,75.84635416666666,81.28255208333334,83.06477864583334,3890036736,2809769984,27.8,908869632,2599337984,952074240,86540288,28884992,352944128,21147648,113430528,8589930496,110407680,8479522816,1.3,0,573440,96681397,7443858,1064168565760,934030615040,268570984,5127197284,88480868,216724068,71955552
5,2024-04-20 13:05:04.544551,75.84635416666666,81.28255208333334,83.06477864583334,3890036736,2421760000,37.7,1296871424,2211319808,1339121664,86540288,28884992,352960512,21147648,113446912,8589930496,110407680,8479522816,1.3,0,1196032,96681397,7443860,1064168565760,934030627328,268570984,5127197288,88480868,216724068,71955556
6,2024-04-20 13:05:06.553483,79.11783854166666,81.87662760416666,83.251953125,3890036736,2180431872,43.9,1544110080,1969991680,1585713152,80629760,28893184,347041792,15237120,113446912,8589930496,110407680,8479522816,1.3,0,1306624,96681397,7443862,1064168565760,934030701056,268570984,5127197292,88480868,216724084,71955560
7,2024-04-20 13:05:08.579259,79.11783854166666,81.87662760416666,83.251953125,3890036736,2247680000,42.2,1470943232,2037223424,1512353792,86540288,28893184,352976896,21147648,113463296,8589930496,110407680,8479522816,1.3,0,1388544,96681397,7443862,1064168565760,934030701056,268570984,5127197292,88480868,216724084,71955560
8,2024-04-20 13:05:10.588276,79.11783854166666,81.87662760416666,83.251953125,3890036736,2214334464,43.1,1510313984,2003877888,1551372288,80523264,28893184,346951680,15122432,113463296,8589930496,110407680,8479522816,1.3,0,1339392,96681397,7443885,1064168565760,934030819840,268570984,5127197652,88480868,216724090,71955596
9,2024-04-20 13:05:12.613009,80.79427083333334,82.177734375,83.349609375,3890036736,2088378368,46.3,1642180608,1877921792,1683853312,74612736,28893184,341041152,9211904,113463296,8589930496,110407680,8479522816,1.3,0,1339392,96681397,7443885,1064168565760,934030819840,268570984,5127197652,88480868,216724090,71955596
10,2024-04-20 13:05:14.622048,80.79427083333334,82.177734375,83.349609375,3890036736,2160062464,44.5,1570603008,1949605888,1611628544,74506240,28901376,340926464,9097216,113463296,8589930496,110407680,8479522816,1.3,0,1445888,96681397,7443887,1064168565760,934030840320,268570984,5127197652,88480868,216724093,71955596
