,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-19 03:25:31.469227,93.14778645833334,92.22005208333334,76.69270833333334,3890036736,2753241088,29.2,951803904,1374371840,1104814080,1075191808,92172288,1471688704,360448,194224128,8589930496,53833728,8536096768,0.6,0,413696,1078147,339049,28982238208,37930783232,6428656,196997124,1378055,5198366,2154308
1,2024-04-19 03:25:33.479076,93.14778645833334,92.22005208333334,76.69270833333334,3890036736,2646753280,32.0,1058361344,1261686784,1210134528,1081319424,92172288,1477816320,364544,194281472,8589930496,53833728,8536096768,0.6,0,450560,1078147,339053,28982238208,37931127296,6428656,196997156,1378055,5198398,2154320
2,2024-04-19 03:25:35.489738,88.3544921875,91.2353515625,76.45670572916666,3890036736,2583195648,33.6,1121857536,1190195200,1273643008,1088581632,92626944,1485357056,364544,194662400,8589930496,53833728,8536096768,0.6,0,450560,1078166,339185,28983450624,37939622400,6428692,197001076,1378055,5198782,2154760
3,2024-04-19 03:25:37.499295,88.3544921875,91.2353515625,76.45670572916666,3890036736,2483924992,36.1,1221173248,1082621952,1372676096,1096073216,93089792,1493151744,364544,195162112,8589930496,53833728,8536096768,0.6,0,557056,1078175,339304,28983593984,37945573888,6428692,197002020,1378055,5199216,2155108
4,2024-04-19 03:25:39.509095,88.3544921875,91.2353515625,76.45670572916666,3890036736,2166398976,44.3,1524211712,762372096,1677762560,1110740992,93593600,1509859328,14876672,195661824,8589930496,53833728,8536096768,0.6,0,876544,1078180,339402,28983692288,37948527104,6428696,197002272,1378055,5199636,2155352
5,2024-04-19 03:25:41.518839,91.95963541666666,91.93522135416666,76.76595052083334,3890036736,2180325376,44.0,1510207488,775979008,1663348736,1110884352,93675520,1510174720,14880768,195698688,8589930496,53833728,8536096768,0.6,0,933888,1078180,339415,28983692288,37948891648,6428696,197002304,1378055,5199712,2155380
6,2024-04-19 03:25:43.543960,91.95963541666666,91.93522135416666,76.76595052083334,3890036736,1986658304,48.9,1699049472,573763584,1852731392,1122045952,94154752,1523068928,19697664,196743168,8589930496,53833728,8536096768,0.6,0,1241088,1078180,339504,28983692288,37955035648,6428696,197008492,1378055,5199928,2155776
7,2024-04-19 03:25:45.560692,96.61458333333334,92.90364583333334,77.16471354166666,3890036736,1943367680,50.0,1742426112,509030400,1900834816,1137188864,94875648,1543704576,19697664,198750208,8589930496,53833728,8536096768,0.6,0,1318912,1078180,339572,28983692288,37956567552,6428696,197008652,1378055,5200229,2155924
8,2024-04-19 03:25:47.569606,96.61458333333334,92.90364583333334,77.16471354166666,3890036736,1943207936,50.0,1747353600,504913920,1904308224,1135624192,94961664,1542807552,14880768,199356416,8589930496,53833728,8536096768,0.6,0,1314816,1078180,339744,28983692288,37964534272,6428696,197030248,1378055,5200764,2156392
9,2024-04-19 03:25:49.579953,98.22591145833334,93.30240885416666,77.38444010416666,3890036736,1882136576,51.6,1803653120,436813824,1961754624,1145769984,95424512,1554145280,19697664,200228864,8589930496,53833728,8536096768,0.6,0,1409024,1078180,339824,28983692288,37972197888,6428696,197056960,1378055,5201001,2156860
10,2024-04-19 03:25:51.605463,98.22591145833334,93.30240885416666,77.38444010416666,3890036736,1883533312,51.6,1805676544,428433408,1965690880,1149272064,96108544,1559818240,16084992,201293824,8589930496,53833728,8536096768,0.6,0,1429504,1078180,339926,28983692288,37974176256,6428696,197057164,1378055,5201365,2157060
11,2024-04-19 03:25:53.615979,98.22591145833334,93.30240885416666,77.38444010416666,3890036736,1852727296,52.4,1841426432,369905664,2007060480,1166065664,96395264,1582309376,11386880,202915840,8589930496,53833728,8536096768,0.6,0,1417216,1078180,340017,28983692288,37985841664,6428696,197078500,1378055,5201367,2157528
12,2024-04-19 03:25:55.654956,99.70703125,93.69303385416666,77.59602864583334,3890036736,1850224640,52.4,1843802112,321585152,2021195776,1196605440,97001472,1627648000,11264000,206233600,8589930496,53833728,8536096768,0.6,0,1425408,1078180,340045,28983692288,37986845184,6428696,197078660,1378055,5201568,2157620
13,2024-04-19 03:25:57.665218,99.70703125,93.69303385416666,77.59602864583334,3890036736,2015850496,48.2,1689124864,468594688,1869905920,1197006848,99024896,1633292288,413696,209944576,8589930496,53833728,8536096768,0.6,0,1224704,1078181,340108,28983696384,37988491776,6428696,197078832,1378055,5201885,2157756
