,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-19 21:12:58.329380,94.57194010416666,90.95052083333334,88.41959635416666,3890036736,3537653760,9.1,215293952,3539038208,27807744,83525632,2187264,133517312,0,101888000,8589930496,109682688,8480247808,1.3,0,0,47615373,3888785,549234686976,484150972928,150293192,2651189680,46477987,110487910,36733584
1,2024-04-19 21:13:00.352583,94.57194010416666,90.95052083333334,88.41959635416666,3890036736,3458940928,11.1,283754496,3412381696,101081088,136232960,7122944,186777600,4096,102121472,8589930496,109682688,8480247808,1.3,0,8192,47616258,3888785,549292710912,484150972928,150294308,2651189680,46479002,110487910,36734400
2,2024-04-19 21:13:02.362270,88.330078125,89.71354166666666,88.02897135416666,3890036736,3405770752,12.4,336928768,3337478144,156741632,154865664,9502720,206127104,4096,103096320,8589930496,109678592,8480251904,1.3,0,8192,47617321,3888785,549314051072,484150972928,150294800,2651189680,46479282,110487910,36734868
3,2024-04-19 21:13:04.372302,88.330078125,89.71354166666666,88.02897135416666,3890036736,3356655616,13.7,384880640,3253882880,207532032,185151488,12357632,238915584,4096,105381888,8589930496,109678592,8480251904,1.3,0,8192,47618490,3888787,549347683328,484151013888,150295504,2651189684,46479732,110487918,36735504
4,2024-04-19 21:13:06.381735,82.58463541666666,88.49283854166666,87.63834635416666,3890036736,3274088448,15.8,466804736,3151589376,292495360,201220096,15384576,256258048,4096,106688512,8589930496,109678592,8480251904,1.3,0,8192,47619661,3888796,549366533120,484151054848,150295984,2651189740,46479761,110487919,36735940
5,2024-04-19 21:13:08.390720,82.58463541666666,88.49283854166666,87.63834635416666,3890036736,2727735296,29.9,1012973568,2570719232,837632000,235556864,15544320,290799616,4096,106725376,8589930496,109678592,8480251904,1.3,0,1040384,47619934,3888796,549400460288,484151054848,150296756,2651189740,46479790,110487919,36736360
6,2024-04-19 21:13:10.414399,82.58463541666666,88.49283854166666,87.63834635416666,3890036736,2564198400,34.1,1176416256,2242715648,1001279488,399761408,15544320,455360512,4096,107167744,8589930496,109678592,8480251904,1.3,0,1388544,47621183,3888797,549563776000,484151058944,150300512,2651189740,46479790,110487919,36738372
7,2024-04-19 21:13:12.438308,77.30305989583334,87.29654947916666,87.255859375,3890036736,2400100352,38.3,1340243968,1915232256,1164857344,562982912,15544320,619016192,4096,107495424,8589930496,109678592,8480251904,1.3,0,1613824,47622432,3888797,549727091712,484151058944,150304280,2651189740,46479790,110487919,36740396
8,2024-04-19 21:13:14.448288,77.30305989583334,87.29654947916666,87.255859375,3890036736,2236010496,42.5,1504296960,1587687424,1328451584,726355968,15544320,782508032,4096,107659264,8589930496,109678592,8480251904,1.3,0,1839104,47623689,3888797,549891324928,484151058944,150308028,2651189740,46479790,110487919,36742416
9,2024-04-19 21:13:16.457101,79.1259765625,87.50813802083334,87.3291015625,3890036736,1689264128,56.6,2050846720,1009090560,1841967104,757776384,15699968,814399488,172032,109715456,8589930496,109678592,8480251904,1.3,0,2613248,47623971,3888798,549923453952,484151063040,150308768,2651189740,46479817,110487919,36742828
