,0
vm_percent,21.333333333333332
swap_percent,0.5
cpuloadavg_1min,9.6771240234375
cpuloadavg_5min,14.082845052083334
cpu_0,2149.5093333333334
cpu_1,2164.9016666666666
cpu_psi_total,642367119.6666666
mem_psi_total,106372248.0
io_psi_total,30339946899.0
acc,55.60000538825989
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,alexnet
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
