,0
vm_percent,22.133333333333336
swap_percent,0.5
cpuloadavg_1min,18.849690755208332
cpuloadavg_5min,16.0308837890625
cpu_0,2848.731333333333
cpu_1,2237.5040000000004
cpu_psi_total,653095045.3333334
mem_psi_total,106372248.0
io_psi_total,30399193583.666668
acc,9.000000357627869
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,alexnet
batchsz_arg,8
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
