,0
vm_percent,22.96666666666667
swap_percent,0.5
cpuloadavg_1min,13.6993408203125
cpuloadavg_5min,17.494710286458332
cpu_0,2265.0023333333334
cpu_1,2128.1946666666668
cpu_psi_total,657680472.3333334
mem_psi_total,106372648.0
io_psi_total,30424509166.0
acc,19.200000166893005
prune_config,random_unstructured
prune_ratio,0.7000000000000001
model_name,alexnet
batchsz_arg,128
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
