,0
vm_percent,25.53333333333333
swap_percent,0.5
cpuloadavg_1min,13.645426432291666
cpuloadavg_5min,18.6279296875
cpu_0,2825.0046666666663
cpu_1,2607.6929999999998
cpu_psi_total,682595088.6666666
mem_psi_total,106372711.0
io_psi_total,30590961909.666668
acc,22.600001096725464
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,googlenet
batchsz_arg,64
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
