,0
vm_percent,20.400000000000002
swap_percent,0.5
cpuloadavg_1min,25.341796875
cpuloadavg_5min,17.9473876953125
cpu_0,2633.0563333333334
cpu_1,2741.3976666666663
cpu_psi_total,632535532.6666666
mem_psi_total,106372248.0
io_psi_total,30270062302.666668
acc,9.800000488758087
prune_config,l1_unstructured
prune_ratio,0.7000000000000001
model_name,resnet
batchsz_arg,64
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
