,0
vm_percent,21.066666666666666
swap_percent,0.5
cpuloadavg_1min,23.616536458333332
cpuloadavg_5min,24.23095703125
cpu_0,2666.3663333333334
cpu_1,2146.134
cpu_psi_total,640006449.6666666
mem_psi_total,106372248.0
io_psi_total,30325556857.666668
acc,0.20000000949949026
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,resnet
batchsz_arg,8
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
