,0
vm_percent,23.03333333333333
swap_percent,0.5
cpuloadavg_1min,14.459228515625
cpuloadavg_5min,15.7318115234375
cpu_0,3488.3926666666666
cpu_1,2558.1616666666664
cpu_psi_total,663333777.6666666
mem_psi_total,106372648.0
io_psi_total,30461091331.666668
acc,70.40000557899475
prune_config,l1_unstructured
prune_ratio,0.7000000000000001
model_name,vgg16
batchsz_arg,4
num_workers_arg,4
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
