,0
vm_percent,23.900000000000002
swap_percent,0.5
cpuloadavg_1min,11.3006591796875
cpuloadavg_5min,11.962890625
cpu_0,2826.1659999999997
cpu_1,2851.7453333333337
cpu_psi_total,666650450.3333334
mem_psi_total,106372648.0
io_psi_total,30483737442.333332
acc,26.000002026557922
prune_config,ln_structured
prune_ratio,0.6000000000000001
model_name,vgg16
batchsz_arg,32
num_workers_arg,8
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
