,0
vm_percent,24.400000000000002
swap_percent,0.5
cpuloadavg_1min,12.140909830729166
cpuloadavg_5min,15.1458740234375
cpu_0,3438.8523333333337
cpu_1,2106.7436666666667
cpu_psi_total,672351354.0
mem_psi_total,106372648.0
io_psi_total,30525630954.666668
acc,61.60000562667847
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,vgg16
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
