,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-20 12:56:44.534172,89.208984375,85.4248046875,83.63444010416666,3890036736,3512254464,9.7,224821248,3303149568,268128256,67698688,27942912,334123008,2707456,113238016,8589930496,110415872,8479514624,1.3,0,0,96681381,7443423,1064168233984,934024811008,268570976,5127193068,88480805,216723119,71954908
1,2024-04-20 12:56:46.543965,84.73307291666666,84.55403645833334,83.35774739583334,3890036736,3403665408,12.5,333385728,3194535936,376111104,67715072,27942912,334172160,2711552,113287168,8589930496,110415872,8479514624,1.3,0,8192,96681381,7443423,1064168233984,934024811008,268570976,5127193068,88480805,216723119,71954908
2,2024-04-20 12:56:48.553326,84.73307291666666,84.55403645833334,83.35774739583334,3890036736,3338182656,14.2,398868480,3129053184,441171968,67715072,27942912,334172160,2711552,113377280,8589930496,110415872,8479514624,1.3,0,8192,96681381,7443423,1064168233984,934024811008,268570976,5127193068,88480805,216723119,71954908
3,2024-04-20 12:56:50.562544,84.73307291666666,84.55403645833334,83.35774739583334,3890036736,3041902592,21.8,685543424,2832769024,727244800,77316096,27951104,343773184,12312576,113561600,8589930496,110415872,8479514624,1.3,0,16384,96681381,7443425,1064168233984,934024851968,268570976,5127193072,88480805,216723127,71954912
4,2024-04-20 12:56:52.571961,87.29654947916666,85.09114583333334,83.53678385416666,3890036736,2843553792,26.9,878981120,2634412032,920264704,82210816,27951104,348692480,17227776,113561600,8589930496,110415872,8479514624,1.3,0,442368,96681381,7443427,1064168233984,934024864256,268570976,5127193072,88480805,216723127,71954912
5,2024-04-20 12:56:54.580893,87.29654947916666,85.09114583333334,83.53678385416666,3890036736,2501931008,35.7,1220603904,2292789248,1260957696,82210816,27951104,348692480,17227776,113561600,8589930496,110415872,8479514624,1.3,0,901120,96681381,7443427,1064168233984,934024864256,268570976,5127193072,88480805,216723127,71954912
6,2024-04-20 12:56:56.590183,89.65657552083334,85.6201171875,83.7158203125,3890036736,2423250944,37.7,1299283968,2214109184,1339297792,82210816,27959296,348684288,17227776,113561600,8589930496,110415872,8479514624,1.3,0,1134592,96681381,7443429,1064168233984,934024933888,268570976,5127193076,88480805,216723142,71954916
7,2024-04-20 12:56:58.600041,89.65657552083334,85.6201171875,83.7158203125,3890036736,2414710784,37.9,1307848704,2205585408,1348038656,82210816,27959296,348643328,17227776,113512448,8589930496,110415872,8479514624,1.3,0,1138688,96681381,7443430,1064168233984,934024942080,268570976,5127193076,88480805,216723142,71954916
8,2024-04-20 12:57:00.610033,89.65657552083334,85.6201171875,83.7158203125,3890036736,2335399936,40.0,1390796800,2126274560,1431691264,78573568,27959296,345006080,13590528,113512448,8589930496,110415872,8479514624,1.3,0,1032192,96681381,7443430,1064168233984,934024942080,268570976,5127193076,88480805,216723142,71954916
9,2024-04-20 12:57:02.629458,91.8212890625,86.14095052083334,83.89485677083334,3890036736,2397229056,38.4,1333641216,2188103680,1373904896,73900032,27959296,340332544,8916992,113512448,8589930496,110415872,8479514624,1.3,0,1073152,96681381,7443430,1064168233984,934024942080,268570976,5127193076,88480805,216723142,71954916
10,2024-04-20 12:57:04.653876,91.8212890625,86.14095052083334,83.89485677083334,3890036736,2401447936,38.3,1334243328,2192322560,1373900800,69087232,27967488,335503360,4096000,113512448,8589930496,110415872,8479514624,1.3,0,1073152,96681381,7443432,1064168233984,934024962560,268570976,5127193076,88480805,216723145,71954916
11,2024-04-20 12:57:06.663895,85.79915364583334,84.9853515625,83.52864583333334,3890036736,2519732224,35.2,1217335296,2310594560,1257463808,67731456,27967488,334139392,2719744,113291264,8589930496,110415872,8479514624,1.3,0,970752,96681381,7443432,1064168233984,934024962560,268570976,5127193076,88480805,216723145,71954916
