,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-19 03:18:04.419045,65.58430989583334,42.61067708333333,56.111653645833336,3890036736,3189014528,18.0,516153344,2616131584,660996096,264318976,47284224,710467584,90112,209346560,8589930496,53833728,8536096768,0.6,0,114688,1073777,324460,28765408256,36480504320,6406700,190258516,1376395,5140229,2084696
1,2024-04-19 03:18:06.429530,65.58430989583334,42.61067708333333,56.111653645833336,3890036736,3089375232,20.6,615874560,2443231232,778883072,316727296,47661056,783269888,118784,211992576,8589930496,53833728,8536096768,0.6,0,126976,1073779,324460,28765477888,36480504320,6406700,190258516,1376395,5140229,2084696
2,2024-04-19 03:18:08.440174,65.58430989583334,42.61067708333333,56.111653645833336,3890036736,3039838208,21.9,665391104,2377936896,832249856,326307840,48693248,798015488,118784,214110208,8589930496,53833728,8536096768,0.6,0,126976,1073779,324473,28765477888,36481667584,6406700,190258728,1376395,5140496,2084752
3,2024-04-19 03:18:10.450855,64.3310546875,42.74088541666667,56.070963541666664,3890036736,2987425792,23.2,717893632,2315251712,887123968,332042240,49598464,807292928,118784,216539136,8589930496,53833728,8536096768,0.6,0,126976,1073779,324474,28765477888,36481679872,6406700,190258728,1376395,5140497,2084752
4,2024-04-19 03:18:12.461233,64.3310546875,42.74088541666667,56.070963541666664,3890036736,2785538048,28.4,919556096,2096357376,1090363392,342106112,51343360,822779904,167936,220303360,8589930496,53833728,8536096768,0.6,0,233472,1073779,324474,28765477888,36481679872,6406700,190258728,1376395,5140497,2084752
5,2024-04-19 03:18:14.478487,69.85677083333334,44.24641927083333,56.486002604166664,3890036736,2486931456,36.1,1199677440,1764884480,1376354304,384770048,51843072,873631744,18247680,221995008,8589930496,53833728,8536096768,0.6,0,692224,1073779,324501,28765477888,36485063168,6406700,190260820,1376395,5141296,2084924
6,2024-04-19 03:18:16.489736,69.85677083333334,44.24641927083333,56.486002604166664,3890036736,2368503808,39.1,1318268928,1620205568,1500971008,402698240,52387840,899174400,18247680,223825920,8589930496,53833728,8536096768,0.6,0,954368,1073779,324513,28765477888,36486066688,6406700,190260988,1376395,5141517,2084976
7,2024-04-19 03:18:18.505626,69.85677083333334,44.24641927083333,56.486002604166664,3890036736,2270842880,41.6,1409961984,1516924928,1593040896,411979776,52965376,910184448,24268800,225132544,8589930496,53833728,8536096768,0.6,0,1130496,1073779,324513,28765477888,36486066688,6406700,190260988,1376395,5141517,2084976
8,2024-04-19 03:18:20.517328,74.94303385416666,45.7275390625,56.901041666666664,3890036736,2192023552,43.7,1489022976,1432129536,1672744960,415281152,53661696,915222528,24268800,226717696,8589930496,53833728,8536096768,0.6,0,1179648,1073780,324670,28765481984,36488114688,6406936,190283392,1376395,5141519,2085232
9,2024-04-19 03:18:22.526278,74.94303385416666,45.7275390625,56.901041666666664,3890036736,2229571584,42.7,1451188224,1463578624,1636982784,418701312,54411264,920858624,24268800,228409344,8589930496,53833728,8536096768,0.6,0,1159168,1073780,324684,28765481984,36489728512,6406936,190283876,1376395,5141899,2085300
10,2024-04-19 03:18:24.535406,79.62239583333334,47.18424479166667,57.316080729166664,3890036736,2187988992,43.8,1498939392,1417707520,1684283392,415105024,55033856,918355968,18243584,229711872,8589930496,53833728,8536096768,0.6,0,1380352,1073780,324796,28765481984,36495098368,6406936,190297096,1376395,5143573,2085620
11,2024-04-19 03:18:26.544254,79.62239583333334,47.18424479166667,57.316080729166664,3890036736,2189275136,43.7,1497907200,1412280320,1685807104,418746368,55652352,924196864,18243584,231133184,8589930496,53833728,8536096768,0.6,0,1241088,1073781,325185,28765486080,36542079488,6407580,190512716,1376395,5144130,2087628
12,2024-04-19 03:18:28.553305,79.62239583333334,47.18424479166667,57.316080729166664,3890036736,2184003584,43.9,1509175296,1399930880,1687543808,417312768,56139776,924790784,12218368,243200000,8589930496,53833728,8536096768,0.6,0,1241088,1073781,325576,28765486080,36588790272,6407580,190757148,1376395,5147433,2089636
13,2024-04-19 03:18:30.562938,86.5966796875,49.169921875,57.91015625,3890036736,2501857280,35.7,1203494912,1717661696,1393254400,405327872,56152064,912728064,126976,232329216,8589930496,53833728,8536096768,0.6,0,827392,1073781,325997,28765486080,36635701760,6407580,190999500,1376395,5149109,2091644
