,time,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-19 12:34:15.649929,83.984375,88.05338541666666,89.2578125,3890036736,3537252352,9.1,212951040,3536441344,19427328,97554432,2596864,138047488,0,98906112,8589930496,108347392,8481583104,1.3,0,0,16512255,1792160,246858132480,218527879680,74973660,1187770060,23659980,47760825,15545236
1,2024-04-19 12:34:17.671501,79.92350260416666,87.14192708333334,88.95670572916666,3890036736,3457200128,11.1,286519296,3404255232,97648640,151576576,7196672,192065536,4096,99090432,8589930496,108347392,8481583104,1.3,0,12288,16513149,1792160,246917397504,218527879680,74974872,1187770060,23660953,47760825,15546124
2,2024-04-19 12:34:19.681430,79.92350260416666,87.14192708333334,88.95670572916666,3890036736,3406024704,12.4,337178624,3333779456,151040000,167673856,9875456,209203200,4096,100147200,8589930496,108343296,8481587200,1.3,0,12288,16514164,1792160,246936087552,218527879680,74975276,1187770060,23661236,47760825,15546504
3,2024-04-19 12:34:21.691445,76.18815104166666,86.24674479166666,88.65559895833334,3890036736,3358453760,13.7,383631360,3251990528,200048640,197980160,12455936,241958912,4096,102346752,8589930496,108343296,8481587200,1.3,0,45056,16515326,1792173,246969601024,218527973888,74976008,1187770144,23661687,47760835,15547148
4,2024-04-19 12:34:23.701027,76.18815104166666,86.24674479166666,88.65559895833334,3890036736,3251236864,16.4,490291200,3125473280,309440512,213716992,15482880,258789376,4096,103636992,8589930496,108343296,8481587200,1.3,0,45056,16516494,1792173,246988332032,218527973888,74976512,1187770144,23661716,47760835,15547604
5,2024-04-19 12:34:25.710103,76.18815104166666,86.24674479166666,88.65559895833334,3890036736,2723258368,30.0,1018200064,2555936768,836780032,254967808,15642624,300257280,4096,103759872,8589930496,108343296,8481587200,1.3,0,1130496,16516816,1792173,247028915200,218527973888,74977464,1187770144,23661745,47760835,15548100
6,2024-04-19 12:34:27.735087,72.75390625,85.36783854166666,88.3544921875,3890036736,2561417216,34.2,1179807744,2232504320,998273024,416444416,15642624,462082048,4096,103989248,8589930496,108343296,8481587200,1.3,0,1396736,16518046,1792173,247189740544,218527973888,74981176,1187770144,23661745,47760835,15550116
7,2024-04-19 12:34:29.757702,72.75390625,85.36783854166666,88.3544921875,3890036736,2401529856,38.3,1339547648,1912262656,1157656576,576634880,15642624,622583808,4096,104316928,8589930496,108343296,8481587200,1.3,0,1622016,16519277,1792173,247350565888,218527973888,74985020,1187770144,23661745,47760835,15552136
8,2024-04-19 12:34:31.784398,68.26171875,84.22037760416666,87.9638671875,3890036736,2237267968,42.5,1503617024,1585225728,1321304064,739131392,15642624,785551360,4096,104873984,8589930496,108343296,8481587200,1.3,0,2064384,16520514,1792174,247512308736,218527977984,74988856,1187770144,23661745,47760835,15554156
9,2024-04-19 12:34:43.978338,69.4580078125,83.92740885416666,87.82552083333334,3890036736,158195712,95.9,3639685120,204513280,2861072384,580722688,495616,45342720,0,98693120,8589930496,345686016,8244244480,4.0,0,4001792,16520936,1794036,247554112512,218765713920,75032032,1189028428,23661767,47816990,15564720
10,2024-04-19 12:34:45.996922,65.22623697916666,82.80436197916666,87.44303385416666,3890036736,158093312,95.9,3639607296,204214272,2861080576,581177344,495616,45719552,0,98689024,8589930496,345628672,8244301824,4.0,0,4001792,16520992,1794036,247554894848,218765713920,75032056,1189028428,23661768,47816990,15564744
11,2024-04-19 12:34:48.007514,65.22623697916666,82.80436197916666,87.44303385416666,3890036736,157896704,95.9,3639730176,203960320,2861088768,581308416,495616,45850624,0,98689024,8589930496,345624576,8244305920,4.0,0,4001792,16520994,1794036,247555030016,218765713920,75032060,1189028428,23661768,47816990,15564748
12,2024-04-19 12:34:52.912456,65.34830729166666,82.53580729166666,87.3291015625,3890036736,10756096,99.7,3799027712,45985792,2996203520,602660864,495616,44527616,0,99307520,8589930496,420089856,8169840640,4.9,0,4018176,16520995,1794469,247555034112,218821702144,75032736,1189306072,23661768,47834095,15567028
13,2024-04-19 12:34:54.934981,65.34830729166666,82.53580729166666,87.3291015625,3890036736,10778624,99.7,3799121920,45924352,2993934336,600719360,495616,44494848,0,99500032,8589930496,520101888,8069828608,6.1,0,3756032,16520999,1795269,247555075072,218922873344,75035720,1189897124,23661769,47858217,15571252
14,2024-04-19 12:34:56.956782,69.4580078125,83.10546875,87.49186197916666,3890036736,974848,100.0,3797131264,47452160,2993737728,600489984,495616,44957696,0,99651584,8589930496,571002880,8018927616,6.6,0,3637248,16521003,1795651,247555345408,218971243008,75038588,1190177328,23661772,47870248,15573276
15,2024-04-19 12:35:00.701258,69.4580078125,83.10546875,87.49186197916666,3890036736,389120,100.0,3797643264,46694400,2993156096,601567232,495616,45203456,0,99557376,8589930496,658743296,7931187200,7.7,0,3473408,16521020,1796339,247555881984,219059581440,75051148,1190699788,23661772,47890975,15577020
16,2024-04-19 12:35:03.492321,71.90755208333334,83.39029947916666,87.56510416666666,3890036736,40910848,98.9,3756408832,86937600,2961620992,596582400,634880,46055424,0,99512320,8589930496,724127744,7865802752,8.4,0,3461120,16521038,1796859,247556525056,219126833664,75063900,1191091336,23661803,47906287,15579812
17,2024-04-19 12:35:06.228351,75.49641927083334,83.94368489583334,87.72786458333334,3890036736,2491580416,35.9,1296343040,2527862784,518877184,603770880,1597440,64233472,0,98856960,8589930496,723226624,7866703872,8.4,0,1957888,16523075,1796994,247583583232,219144274432,75072884,1191196056,23662024,47906442,15581284
18,2024-04-19 12:35:08.257696,75.49641927083334,83.94368489583334,87.72786458333334,3890036736,2427383808,37.6,1360580608,2463666176,562118656,624697344,1597440,64192512,0,98856960,8589930496,723222528,7866707968,8.4,0,2105344,16531038,1796994,247616199680,219144274432,75082804,1191196056,23662024,47906442,15583300
19,2024-04-19 12:35:10.285457,75.49641927083334,83.94368489583334,87.72786458333334,3890036736,2360885248,39.3,1427091456,2397167616,607150080,645763072,1605632,64172032,0,98856960,8589930496,723218432,7866712064,8.4,0,2105344,16539023,1796996,247648906240,219144286720,75092780,1191196060,23662024,47906443,15585332
20,2024-04-19 12:35:12.306542,77.4658203125,84.21223958333334,87.80110677083334,3890036736,2296745984,41.0,1491185664,2333028352,650358784,666677248,1605632,64217088,0,98856960,8589930496,723218432,7866712064,8.4,0,2105344,16546999,1796996,247681575936,219144286720,75102656,1191196060,23662024,47906443,15587356
21,2024-04-19 12:35:14.327882,77.4658203125,84.21223958333334,87.80110677083334,3890036736,2232496128,42.6,1555427328,2268774400,693407744,687898624,1605632,64229376,0,98856960,8589930496,723214336,7866716160,8.4,0,2301952,16554970,1796996,247714225152,219144286720,75112592,1191196060,23662024,47906443,15589380
22,2024-04-19 12:35:16.347486,79.2724609375,84.48079427083334,87.87434895833334,3890036736,2164211712,44.4,1623703552,2200489984,740872192,708775936,1605632,64237568,0,98856960,8589930496,723214336,7866716160,8.4,0,2371584,16562949,1796996,247746907136,219144286720,75122472,1191196060,23662024,47906443,15591396
23,2024-04-19 12:35:18.369813,79.2724609375,84.48079427083334,87.87434895833334,3890036736,2100113408,46.0,1687932928,2136391680,783851520,729673728,1605632,64106496,0,98856960,8589930496,723214336,7866716160,8.4,0,2420736,16570920,1796996,247779556352,219144286720,75132408,1191196060,23662024,47906443,15593424
24,2024-04-19 12:35:20.403842,79.2724609375,84.48079427083334,87.87434895833334,3890036736,2036043776,47.7,1751871488,2072326144,827125760,750678016,1605632,64233472,0,98856960,8589930496,723214336,7866716160,8.4,0,2494464,16578855,1796996,247812058112,219144286720,75142260,1191196060,23662024,47906443,15595444
25,2024-04-19 12:35:22.413167,79.59798177083334,84.45638020833334,87.84993489583334,3890036736,1832562688,52.9,1955610624,1868840960,1034440704,747036672,1605632,63979520,0,98856960,8589930496,723116032,7866814464,8.4,0,2564096,16582213,1796996,247917353984,219144286720,75151868,1191196060,23684373,47906443,15597468
26,2024-04-19 12:35:24.466875,79.59798177083334,84.45638020833334,87.84993489583334,3890036736,2025930752,47.9,1760284672,2060517376,1249615872,340049920,1605632,67629056,0,98852864,8589930496,722722816,7867207680,8.4,0,2289664,16582474,1796996,247921753088,219144286720,75151992,1191196060,23684395,47906443,15597580
27,2024-04-19 12:35:26.476454,74.55240885416666,83.3251953125,87.46744791666666,3890036736,1998131200,48.6,1778331648,2023055360,1252704256,370257920,3399680,85250048,53248,99192832,8589930496,714452992,7875477504,8.3,0,2260992,16586491,1796996,247957326848,219144286720,75153484,1191196060,23685022,47906443,15598816
28,2024-04-19 12:35:28.486185,74.55240885416666,83.3251953125,87.46744791666666,3890036736,1482358784,61.9,2266828800,1494466560,1735901184,414998528,6246400,122494976,14516224,99364864,8589930496,712339456,7877591040,8.3,0,2568192,16589449,1796996,247995251712,219144286720,75154804,1191196060,23686052,47906443,15599916
29,2024-04-19 12:35:30.495619,74.55240885416666,83.3251953125,87.46744791666666,3890036736,503603200,87.1,3244888064,514985984,2711035904,416882688,6246400,123916288,14516224,99364864,8589930496,711925760,7878004736,8.3,0,4050944,16589587,1796996,247997271040,219144286720,75154868,1191196060,23686098,47906443,15599968
30,2024-04-19 12:35:32.523113,76.59505208333334,83.61002604166666,87.54069010416666,3890036736,950870016,75.6,2797572096,961904640,2263470080,417849344,6246400,124313600,14516224,99381248,8589930496,711573504,7878356992,8.3,0,3768320,16589734,1796996,247999335424,219144286720,75155004,1191196060,23686296,47906443,15600032
31,2024-04-19 12:35:34.532908,76.59505208333334,83.61002604166666,87.54069010416666,3890036736,1324994560,65.9,2423156736,1336025088,1889583104,417767424,6254592,124600320,14516224,99381248,8589930496,711561216,7878369280,8.3,0,3166208,16589817,1796998,248000588800,219144344064,75155132,1191196060,23686514,47906455,15600064
32,2024-04-19 12:35:36.586934,79.8095703125,84.16341145833334,87.70345052083334,3890036736,1057632256,72.8,2690514944,1068662784,2155114496,419766272,6254592,124604416,14516224,99381248,8589930496,711557120,7878373376,8.3,0,3629056,16590408,1796998,248003042304,219144344064,75155964,1191196060,23686522,47906455,15600212
33,2024-04-19 12:35:38.598458,79.8095703125,84.16341145833334,87.70345052083334,3890036736,1226145792,68.5,2522079232,1237176320,1982226432,424390656,6254592,124526592,14516224,99381248,8589930496,711548928,7878381568,8.3,0,3366912,16591976,1796998,248009481216,219144344064,75158232,1191196060,23686526,47906455,15600604
34,2024-04-19 12:35:40.626079,79.8095703125,84.16341145833334,87.70345052083334,3890036736,1100300288,71.7,2647826432,1111310336,2101866496,430604288,6262784,124637184,14516224,99414016,8589930496,711540736,7878389760,8.3,0,3588096,16594483,1797000,248019749888,219144356352,75161948,1191196064,23686526,47906456,15601248
35,2024-04-19 12:35:42.653234,82.763671875,84.70865885416666,87.8662109375,3890036736,1090744320,72.0,2657378304,1101746176,2105556992,436375552,6262784,124649472,14516224,99430400,8589930496,711540736,7878389760,8.3,0,3588096,16596798,1797000,248029232128,219144356352,75165364,1191196064,23686526,47906456,15601840
36,2024-04-19 12:35:44.662394,82.763671875,84.70865885416666,87.8662109375,3890036736,1194766336,69.3,2553618432,1205768192,1993699328,444133376,6262784,124387328,14516224,99430400,8589930496,711540736,7878389760,8.3,0,3366912,16599614,1797000,248040774656,219144356352,75169508,1191196064,23686528,47906456,15602556
37,2024-04-19 12:35:46.709090,85.48177083333334,85.24576822916666,88.02897135416666,3890036736,1035960320,73.4,2711908352,1046683648,2137579520,454983680,6270976,125173760,14516224,99479552,8589930496,711536640,7878393856,8.3,0,3366912,16603797,1797013,248058420224,219144417792,75175568,1191196172,23686534,47906458,15603640
38,2024-04-19 12:35:48.722437,85.48177083333334,85.24576822916666,88.02897135416666,3890036736,30851072,99.2,3716550656,46088192,2972659712,623267840,6660096,120737792,19333120,99508224,8589930496,713945088,7875985408,8.3,0,4247552,16603998,1797014,248062680064,219144421888,75175704,1191196176,23686671,47906458,15603744
39,2024-04-19 12:36:04.442859,85.09928385416666,85.15625,87.939453125,3890036736,8441856,99.8,3771805696,46784512,2986147840,605618176,1085440,70361088,9691136,99917824,8589930496,1112993792,7476936704,13.0,0,3477504,16604123,1799989,248067222528,219527193088,75269220,1193308144,23686733,48001380,15619448
40,2024-04-19 12:36:13.389371,83.38216145833334,84.814453125,87.79296875,3890036736,88788992,97.7,3698978816,134897664,2919059456,588517376,925696,55234560,9691136,99397632,8589930496,1311850496,7278080000,15.3,0,3166208,16604206,1801662,248070315008,219744948736,75306476,1194516428,23686934,48048405,15628392
